Dices,Word,Transliteration,Abbreviation,Numeric code
4653,пунктир,punktir,pnk,
4654,пупок,pupok,ppk,668
4655,пустой,pustoy,psy,
4656,пух,puh,puh,669
4661,пушка,pushka,psh,
4662,пчела,pchela,pcl,670
4663,пшеница,pshenitsa,psn,671
4664,пылесос,pylesos,pys,672
4665,пыль,pyl,pyl,673
4666,пюре,pyure,pre,674
5111,пятка,pyatka,ptk,675
5112,пятница,pyatnitsa,pya,
5113,пятно,pyatno,ptn,676
5114,работа,rabota,rba,677
5115,радио,radio,rdi,
5116,радость,radost,rdt,678
5121,радуга,raduga,rdg,679
5122,район,rayon,ryn,680
5123,рак,rak,rak,
5124,ракета,raketa,rkt,681
5125,раковина,rakovina,rkv,682
5126,рамка,ramka,rmk,683
5131,ранний,ranniy,rnn,
5132,рассказ,rasskaz,rss,684
5133,расчёска,raschyoska,rsc,685
5134,рвать,rvat,rvt,
5135,реактор,reaktor,rea,
5136,ребро,rebro,rbr,686
5141,редис,redis,rds,687
5142,редкий,redkiy,rdk,
5143,режиссёр,rezhissyor,rzs,688
5144,резина,rezina,rzn,689
5145,река,reka,rka,690
5146,рекорд,rekord,rkr,
5151,рельс,rels,rls,691
5152,ремень,remen,rmn,692
5153,рентген,rentgen,rnt,
5154,репа,repa,rpa,
5155,ресница,resnitsa,res,693
5156,ресторан,restoran,rst,694
5161,рецепт,retsept,rtp,
5162,решётка,reshyotka,rsh,695
5163,рис,ris,ris,696
5164,рисунок,risunok,rsn,697
5165,ритм,ritm,rtm,
5166,рифма,rifma,rfm,
5211,робот,robot,rbt,698
5212,ровный,rovnyy,rvn,699
5213,рог,rog,rog,700
5214,рожь,rozh,rzh,
5215,роза,roza,rza,701
5216,рой,roy,roy,702
5221,роман,roman,rma,
5222,ромашка,romashka,rms,703
5223,ромб,romb,rmb,704
5224,рот,rot,rot,705
5225,рояль,royal,rol,706
5226,ртуть,rtut,rtt,
5231,рубашка,rubashka,rbs,707
5232,рубин,rubin,rbn,708
5233,руда,ruda,rda,709
5234,ружьё,ruzhyo,rzy,710
5235,рука,ruka,ruk,711
5236,рулон,rulon,rln,712
5241,руль,rul,rul,713
5242,русалка,rusalka,rsl,714
5243,ручей,ruchey,rch,715
5244,рынок,rynok,rnk,716
5245,рысь,rys,rys,717
5246,рыцарь,rytsar,rts,718
5251,рычаг,rychag,rcg,719
5252,рюкзак,ryukzak,rkz,720
5253,рябь,ryab,ryb,
5254,сад,sad,sad,721
5255,саксофон,saksofon,sks,722
5256,салат,salat,slt,723
5261,салфетка,salfetka,slf,724
5262,салют,salyut,slu,
5263,самокат,samokat,sat,725
5264,самолёт,samolyot,sam,726
5265,сандалия,sandaliya,snl,727
5266,сани,sani,sni,728
5311,сапог,sapog,spg,729
5312,сарай,saray,sry,
5313,сахар,sahar,sah,730
5314,свёкла,svyokla,svk,731
5315,свет,svet,svt,732
5316,светофор,svetofor,svf,733
5321,свеча,svecha,svc,734
5322,свист,svist,svs,735
5323,свитер,sviter,svi,736
5324,свиток,svitok,svo,737
5325,свобода,svoboda,svb,
5326,связь,svyaz,svz,738
5331,север,sever,svr,739
5332,седло,sedlo,sdl,740
5333,сейф,seyf,syf,741
5334,секунда,sekunda,skn,
5335,сельдь,seld,sel,742
5336,семечко,semechko,smc,743
5341,семья,semya,smy,744
5342,сено,seno,sno,
5343,сентябрь,sentyabr,snt,
5344,сера,sera,sra,
5345,сердце,serdtse,sds,
5346,серебро,serebro,srb,
5351,серый,seryy,ser,745
5352,серьга,serga,srg,746
5353,сестра,sestra,sst,747
5354,сеть,set,set,
5355,сидеть,sidet,sdt,748
5356,сила,sila,sla,749
5361,синий,siniy,sny,750
5362,сирень,siren,srn,751
5363,сироп,sirop,srp,
5364,сито,sito,sto,752
5365,скала,skala,skl,753
5366,скалка,skalka,skk,754
5411,скатерть,skatert,skt,755
5412,склад,sklad,skd,
5413,скобка,skobka,skb,
5414,сковорода,skovoroda,skv,756
5415,скорлупа,skorlupa,sku,757
5416,скорпион,skorpion,ski,
5421,скрепка,skrepka,ske,758
5422,скрип,skrip,skr,
5423,сладкий,sladkiy,sdk,
5424,след,sled,sld,759
5425,слеза,sleza,slz,760
5426,слесарь,slesar,sls,
5431,слива,sliva,slv,761
5432,слово,slovo,slo,762
5433,слой,sloy,sly,763
5434,слон,slon,sln,764
5435,слышать,slyshat,sys,765
5436,смелый,smelyy,sme,
5441,смена,smena,smn,766
5442,сметана,smetana,smt,
5443,смех,smeh,smh,767
5444,смола,smola,sml,768
5445,смородина,smorodina,smr,
5446,снег,sneg,sng,769
5451,собака,sobaka,sbk,770
5452,сова,sova,sva,771
5453,сок,sok,sok,772
5454,сокол,sokol,sko,773
5455,солдат,soldat,sod,774
5456,солнце,solntse,son,775
5461,соловей,solovey,svy,776
5462,солома,soloma,slm,777
5463,соль,sol,sol,778
5464,сом,som,som,779
5465,сорока,soroka,srk,780
5466,сосед,sosed,ssd,781
5511,сосна,sosna,ssn,782
5512,сота,sota,sta,783
5513,соус,sous,sos,
5514,спать,spat,spt,784
5515,спектакль,spektakl,spk,785
5516,спина,spina,spn,786
5521,спираль,spiral,spr,787
5522,спичка,spichka,spc,788
5523,среда,sreda,srd,
5524,стадион,stadion,sdn,789
5525,стадо,stado,std,
5526,стакан,stakan,ska,790
5531,старый,staryy,sty,791
5532,статуя,statuya,sau,792
5533,ствол,stvol,stv,793
5534,стебель,stebel,stb,794
5535,стекло,steklo,ste,795
5536,стена,stena,stn,796
5541,степь,step,stp,797
5542,стих,stih,sth,
5543,стол,stol,stl,798
5544,столб,stolb,slb,799
5545,стопа,stopa,spa,800
5546,сторож,storozh,stz,801
5551,стоять,stoyat,stt,802
5552,страна,strana,str,803
5553,страус,straus,sus,804
5554,стрекоза,strekoza,skz,805
5555,стрелка,strelka,srl,
5556,строитель,stroitel,sro,806
5561,струна,struna,sun,807
5562,струя,struya,suy,808
5563,студент,student,sud,
5564,стук,stuk,stk,809
5565,стул,stul,stu,810
5566,ступень,stupen,spe,811
5611,суббота,subbota,sbb,
5612,сугроб,sugrob,sgr,812
5613,судья,sudya,sdy,813
5614,сумка,sumka,smk,814
5615,сундук,sunduk,snd,815
5616,суп,sup,sup,816
5621,сухой,suhoy,shy,817
5622,сцена,stsena,sts,818
5623,сын,syn,syn,819
5624,сыпать,sypat,syp,820
5625,сыр,syr,syr,821
5626,таблетка,tabletka,tbl,822
5631,табличка,tablichka,tbc,
5632,табуретка,taburetka,tbr,823
5633,таз,taz,taz,824
5634,тайга,tayga,tyg,
5635,тайна,tayna,tyn,
5636,такси,taksi,tks,825
5641,талия,taliya,tli,
5642,танец,tanets,tts,826
5643,танк,tank,tnk,
5644,тапочка,tapochka,tpc,827
5645,тарелка,tarelka,trl,828
5646,таять,tayat,tat,829
5651,твёрдый,tvyordyy,tvy,830
5652,творог,tvorog,tvr,831
5653,театр,teatr,ttr,832
5654,текст,tekst,tkt,
5655,телевизор,televizor,tlv,833
5656,телега,telega,tlg,834
5661,телескоп,teleskop,tel,835
5662,телефон,telefon,tlf,836
5663,тело,telo,tlo,837
5664,теннис,tennis,tnn,
5665,тень,ten,ten,838
5666,тёплый,tyoplyy,tpy,839
6111,тёрка,tyorka,trk,840
6112,термос,termos,trm,841
6113,тесный,tesnyy,tsn,
6114,тесто,testo,tst,842
6115,тетрадь,tetrad,ttd,843
6116,тётя,tyotya,tty,844
6121,течь,tech,tch,
6122,тигр,tigr,tgr,845
6123,тиски,tiski,tsk,846
6124,тихий,tihiy,thy,847
6125,тлеть,tlet,tlt,
6126,толкать,tolkat,tlk,
6131,толпа,tolpa,tlp,848
6132,толстый,tolstyy,tls,849
6133,томат,tomat,tmt,850
6134,тонкий,tonkiy,tny,
6135,тоннель,tonnel,tnl,851
6136,топать,topat,tpt,852
6141,тополь,topol,tpl,853
6142,топор,topor,tpr,854
6143,торт,tort,trt,855
6144,точка,tochka,tck,856
6145,трава,trava,trv,857
6146,трактор,traktor,trr,858
6151,трамвай,tramvay,tmv,859
6152,тренер,trener,tnr,
6153,треугольник,treugolnik,trg,860
6154,трещина,treshchina,tsc,
6155,трон,tron,trn,861
6156,тропа,tropa,trp,862
6161,трость,trost,trs,863
6162,тротуар,trotuar,tro,864
6163,труба,truba,trb,865
6164,трясти,tryasti,try,866
6165,туман,tuman,tmn,867
6166,тумбочка,tumbochka,tmb,868
6211,тундра,tundra,tnd,869
6212,тунец,tunets,tun,870
6213,турист,turist,tur,871
6214,туфля,tuflya,tfl,872
6215,тыква,tykva,tkv,873
6216,тьма,tma,tma,
6221,тюбик,tyubik,tbk,874
6222,тюлень,tyulen,tln,875
6223,тюльпан,tyulpan,tyu,876
6224,тяжёлый,tyazhyolyy,tzh,
6225,тянуть,tyanut,tnt,877
6226,угол,ugol,ugl,878
6231,удача,udacha,udc,
6232,удочка,udochka,udk,879
6233,ужин,uzhin,uzh,880
6234,узел,uzel,uzl,881
6235,узкий,uzkiy,uzk,
6236,укроп,ukrop,ukr,882
6241,уксус,uksus,uks,
6242,улей,uley,uly,883
6243,улитка,ulitka,ult,884
6244,улица,ulitsa,uts,885
6245,улыбка,ulybka,ulb,886
6246,умный,umnyy,umn,
6251,урна,urna,urn,
6252,успех,uspeh,usp,
6253,усы,usy,usy,887
6254,утка,utka,utk,888
6255,утро,utro,utr,889
6256,утюг,utyug,utg,890
6261,ухо,uho,uho,891
6262,учёный,uchyonyy,ucn,892
6263,учитель,uchitel,uch,893
6264,факел,fakel,fkl,894
6265,фамилия,familiya,fml,
6266,фанера,fanera,fne,895
6311,фара,fara,fra,896
6312,фартук,fartuk,frt,897
6313,фарш,farsh,frs,
6314,фасоль,fasol,fsl,898
6315,февраль,fevral,fvr,
6316,фен,fen,fen,899
6321,ферма,ferma,frm,
6322,фея,feya,fey,900
6323,фиалка,fialka,flk,901
6324,фильм,film,flm,902
6325,фильтр,filtr,flr,903
6326,финик,finik,fnk,904
6331,фиолетовый,fioletovyy,flv,
6332,фишка,fishka,fsh,
6333,флаг,flag,flg,905
6334,фламинго,flamingo,fln,906
6335,флейта,fleyta,fly,907
6336,флот,flot,flt,908
6341,фляга,flyaga,fla,909
6342,фокусник,fokusnik,fks,
6343,фольга,folga,fol,910
6344,фонарь,fonar,fnr,911
6345,фонтан,fontan,fnt,912
6346,фото,foto,fto,913
6351,фургон,furgon,frg,914
6352,футбол,futbol,ftb,915
6353,халат,halat,hlt,916
6354,хаос,haos,has,
6355,хвост,hvost,hvs,917
6356,хвоя,hvoya,hvo,
6361,хлеб,hleb,hlb,918
6362,хлопать,hlopat,hlp,919
6363,хобот,hobot,hbt,920
6364,хоккей,hokkey,hkk,
6365,холм,holm,hlm,921
6366,холодильник,holodilnik,hld,922
6411,холст,holst,hls,
6412,хомяк,homyak,hmk,923
6413,хор,hor,hor,924
6414,хрупкий,hrupkiy,hrp,
6415,хруст,hrust,hrs,
6416,царапина,tsarapina,tpn,
6421,царь,tsar,tsr,925
6422,целый,tselyy,tsy,
6423,цель,tsel,tsl,
6424,цепь,tsep,tsp,926
6425,цех,tseh,tsh,927
6426,цилиндр,tsilindr,tsd,928
6431,цирк,tsirk,tsi,929
6432,циркуль,tsirkul,tsu,930
6433,цифра,tsifra,tsf,
6434,чай,chay,chy,931
6435,чайка,chayka,cyk,932
6436,час,chas,chs,933
6441,частый,chastyy,csy,
6442,чашка,chashka,csk,934
6443,чек,chek,chk,
6444,челюсть,chelyust,cls,935
6445,чемодан,chemodan,chm,936
6446,чемпион,chempion,cmp,937
6451,чердак,cherdak,crd,938
6452,черепаха,cherepaha,crp,939
6453,чернила,chernila,crl,940
6454,чёрный,chyornyy,chr,941
6455,чертёж,chertyozh,crt,
6456,чеснок,chesnok,csn,942
6461,четверг,chetverg,ctv,
6462,чехол,chehol,chh,943
6463,чешуя,cheshuya,csu,944
6464,чистый,chistyy,chi,945
6465,читать,chitat,cht,946
6466,чудо,chudo,chd,
6511,чулок,chulok,chl,947
6512,шаблон,shablon,sbl,
6513,шаг,shag,shg,948
6514,шайба,shayba,syb,949
6515,шалаш,shalash,sal,950
6516,шампунь,shampun,smp,951
6521,шапка,shapka,sap,952
6522,шар,shar,shr,953
6523,шарф,sharf,srf,954
6524,шахматы,shahmaty,sma,955
6525,шахта,shahta,shh,956
6526,шёлк,shyolk,slk,957
6531,шёпот,shyopot,sop,958
6532,шерсть,sherst,srs,959
6533,шершавый,shershavyy,ssy,960
6534,шест,shest,shs,961
6535,шестерёнка,shesteryonka,snk,
6536,шея,sheya,she,962
6541,шина,shina,shn,
6542,шип,ship,shp,
6543,широкий,shirokiy,sky,
6544,шить,shit,sht,963
6545,шишка,shishka,ssk,964
6546,шкатулка,shkatulka,sul,965
6551,шкаф,shkaf,shk,966
6552,школа,shkola,sho,967
6553,шланг,shlang,slg,968
6554,шлем,shlem,shl,969
6555,шляпа,shlyapa,slp,970
6556,шнурок,shnurok,snr,971
6561,шоколад,shokolad,shd,972
6562,шорох,shoroh,srh,
6563,шорты,shorty,srt,973
6564,шоссе,shosse,sss,974
6565,шпала,shpala,spl,
6566,штанга,shtanga,stg,975
6611,штаны,shtany,san,976
6612,штора,shtora,sor,977
6613,шторм,shtorm,srm,
6614,шуба,shuba,shb,978
6615,шум,shum,shm,
6616,шутка,shutka,shu,
6621,щека,shcheka,sck,
6622,щелчок,shchelchok,scc,
6623,щель,shchel,scl,979
6624,щётка,shchyotka,scy,980
6625,щипцы,shchiptsy,scp,981
6626,щит,shchit,shc,982
6631,щука,shchuka,scu,983
6632,экзамен,ekzamen,ekz,
6633,экран,ekran,ekr,
6634,экскаватор,ekskavator,eks,984
6635,эра,era,era,
6636,эскалатор,eskalator,esk,985
6641,этаж,etazh,etz,986
6642,этикетка,etiketka,etk,
6643,эхо,eho,eho,
6644,юбка,yubka,ybk,987
6645,юг,yug,yug,988
6646,юла,yula,yla,989
6651,яблоко,yabloko,ybl,990
6652,ядро,yadro,ydr,991
6653,язык,yazyk,yzk,992
6654,яйцо,yaytso,yyt,993
6655,якорь,yakor,ykr,994
6656,яма,yama,yma,
6661,январь,yanvar,ynv,
6662,янтарь,yantar,ynt,995
6663,яркий,yarkiy,yrk,996
6664,ясный,yasnyy,ysn,997
6665,ящерица,yashcheritsa,ysr,998
6666,ящик,yashchik,ysh,999
