Number,Lemma,PoS,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,roots
17550,летописец,s,"лет,пис",пис,лет => лет-1|лет-2,
17551,летописный,a,"лет,пис",пис,лет => лет-1|лет-2,
17552,летопись,s,"лет,пись",пис,лет => лет-1|лет-2,
17553,летосчисление,s,"лет,числ",числ,лет => лет-1|лет-2,
17559,летчица,s,лет,,лет => лет-1|лет-2,
17717,литературовед,s,"литерат,вед",литерат,вед => вед-1|вед-2,
17718,литературоведение,s,"литерат,вед",литерат,вед => вед-1|вед-2,
17719,литературоведческий,a,"литерат,вед",литерат,вед => вед-1|вед-2,
17975,луженый,a,луж,,луж => луж-1|луж-2|луж-3,
17994,лук-порей,s,"лук,порей",порей,лук => лук-1|лук-2|лук-3,
18244,макромир,s,мир,,мир => мир-1|мир-2,
18270,малек,s,мал,,мал => мал-1|мал-2|мал-3|мал-4,
18280,маловажный,a,"мал,важн",важ-1,мал => мал-1|мал-2|мал-3|мал-4,
18284,маловероятный,a,"мал,вероятн",вероят,мал => мал-1|мал-2|мал-3|мал-4,
18285,маловразумительный,a,"мал,ум",ум,мал => мал-1|мал-2|мал-3|мал-4,
18287,малогабаритный,a,"мал,габарит",габарит,мал => мал-1|мал-2|мал-3|мал-4,
18288,малограмотный,a,"мал,грамот",грамот,мал => мал-1|мал-2|мал-3|мал-4,
18294,малозаметный,a,"мал,замет",мет-2,мал => мал-1|мал-2|мал-3|мал-4,
18295,малознакомый,a,"мал,знаком",зна(j),мал => мал-1|мал-2|мал-3|мал-4,
18296,малозначащий,a,"мал,знач",зна(j),мал => мал-1|мал-2|мал-3|мал-4,
18297,малозначительный,a,"мал,знач",зна(j),мал => мал-1|мал-2|мал-3|мал-4,
18299,малоизученный,a,"мал,уч",уч,мал => мал-1|мал-2|мал-3|мал-4,
18300,малоимущий,a,мал,,мал => мал-1|мал-2|мал-3|мал-4,
18301,малоинтересный,a,"мал,интерес",интерес,мал => мал-1|мал-2|мал-3|мал-4,
18302,малокалиберный,a,"мал,калибер",калибер,мал => мал-1|мал-2|мал-3|мал-4,
18304,малокровный,a,"мал,кров",,мал => мал-1|мал-2|мал-3|мал-4; кров => кров-1|кров-2,
18306,малолетний,a,"мал,лет",,мал => мал-1|мал-2|мал-3|мал-4; лет => лет-1|лет-2,
18307,малолетство,s,"мал,лет",,мал => мал-1|мал-2|мал-3|мал-4; лет => лет-1|лет-2,
18309,малолюдный,a,"мал,люд",люд,мал => мал-1|мал-2|мал-3|мал-4,
18312,маломерный,a,"мал,мер",,мал => мал-1|мал-2|мал-3|мал-4; мер => мер-1|мер-2|мер-3,
18313,маломощный,a,"мал,мощ",мощ-1,мал => мал-1|мал-2|мал-3|мал-4,
18314,малонаселенный,a,"мал,сел",сел,мал => мал-1|мал-2|мал-3|мал-4,
18315,малообеспеченный,a,"мал,обеспеч",печ,мал => мал-1|мал-2|мал-3|мал-4,
18316,малообразованный,a,"мал,образова",раз-1,мал => мал-1|мал-2|мал-3|мал-4,
18317,малоопытный,a,"мал,опыт",пыт,мал => мал-1|мал-2|мал-3|мал-4,
18318,малоподвижный,a,"мал,движ",движ,мал => мал-1|мал-2|мал-3|мал-4,
18319,мало-помалу,adv,"мал,мал",,мал => мал-1|мал-2|мал-3|мал-4; мал => мал-1|мал-2|мал-3|мал-4,
18320,малопонятный,a,"мал,поня",ня,мал => мал-1|мал-2|мал-3|мал-4,
18321,малопривлекательный,a,"мал,влек",влек,мал => мал-1|мал-2|мал-3|мал-4,
18322,малопригодный,a,"мал,год",год,мал => мал-1|мал-2|мал-3|мал-4,
18323,малоприятный,a,"мал,приятн",приятн,мал => мал-1|мал-2|мал-3|мал-4,
18324,малоразмерный,a,"мал,мер",,мал => мал-1|мал-2|мал-3|мал-4; мер => мер-1|мер-2|мер-3,
18325,малорослый,a,"мал,рос",,мал => мал-1|мал-2|мал-3|мал-4; рос => рос-1|рос-2,
18332,малоценный,a,"мал,цен",цен,мал => мал-1|мал-2|мал-3|мал-4,
18334,малочисленный,a,"мал,числ",числ,мал => мал-1|мал-2|мал-3|мал-4,
18336,малоэффективный,a,"мал,эффект",эффект,мал => мал-1|мал-2|мал-3|мал-4,
18428,манометр,s,"ман,метр",метр,ман => ман-1|ман-2,
18727,мед,s,мед,,мед => мед-1|мед-2,
18744,медик,s,мед,,мед => мед-1|мед-2,
18749,мединститут,s,"мед,институт",институт,мед => мед-1|мед-2,
18756,медкомиссия,s,"мед,комисси",комисси,мед => мед-1|мед-2,
18769,медперсонал,s,"мед,персонал",персонал,мед => мед-1|мед-2,
18770,медпункт,s,"мед,пункт",пункт,мед => мед-1|мед-2,
18773,медсанбат,s,"мед,сан,бат",бат,мед => мед-1|мед-2; сан => сан-1|сан-2,
18775,медсестра,s,"мед,сестр",сестр,мед => мед-1|мед-2,
18853,мелководный,a,"мелк,вод",мел,вод => вод-1|вод-2,
18871,меломан,s,"мел,ман",мел,ман => ман-1|ман-2,
18955,мериться,v,мер,,мер => мер-1|мер-2|мер-3,
18992,местком,s,мест,,мест => мест-1|мест-2,
19000,местонахождение,s,"мест,хожд",хожд,мест => мест-1|мест-2,
19001,местообитание,s,"мест,обита",обит,мест => мест-1|мест-2,
19002,местоположение,s,"мест,лож",,мест => мест-1|мест-2; лож => лож-1|лож-2,
19003,местопребывание,s,"мест,бы",бы,мест => мест-1|мест-2,
19005,месторождение,s,"мест,рожд",рожд,мест => мест-1|мест-2,
19014,метаболизм,s,"мета,бол",мета,бол => бол-1|бол-2,
19015,метаболит,s,"мета,бол",мета,бол => бол-1|бол-2,
19016,метаболический,a,"мета,бол",мета,бол => бол-1|бол-2,
19019,метаданные,s,"мета,да",мета,да => да-1|да-2|да-3,
19028,металлопрокат,s,"металл,кат",металл,кат => кат-1|кат-2,
19122,меченосец,s,"меч,нос",,меч => меч-1|меч-2; нос => нос-1|нос-2,
19181,микроволновый,a,волн,,волн => волн-1|волн-2,
19185,микромир,s,мир,,мир => мир-1|мир-2,
19200,микрочастица,s,част,,част => част-1|част-2,
19261,мимолетный,a,"мимо,лет",мимо,лет => лет-1|лет-2,
19337,миро,s,мир,,мир => мир-1|мир-2,
19338,мировоззрение,s,"мир,воз,зр","воз,зр",мир => мир-1|мир-2,
19339,мировоззренческий,a,"мир,воз,зр","воз,зр",мир => мир-1|мир-2,
19341,мировосприятие,s,"мир,восприя",я-1,мир => мир-1|мир-2,
19342,мироед,s,"мир,ед",ед,мир => мир-1|мир-2,
19343,мироздание,s,"мир,здани",зд,мир => мир-1|мир-2,
19346,миролюбивый,a,"мир,люб",люб,мир => мир-1|мир-2,
19347,миролюбие,s,"мир,люб",люб,мир => мир-1|мир-2,
19348,мироощущение,s,"мир,ощущ",ощущ,мир => мир-1|мир-2,
19350,миропонимание,s,"мир,поним",ним,мир => мир-1|мир-2,
19352,миросозерцание,s,"мир,созерц",созерц,мир => мир-1|мир-2,
19353,миротворец,s,"мир,твор",,мир => мир-1|мир-2; твор => твор-1|твор-2,
19354,миротворческий,a,"мир,твор",,мир => мир-1|мир-2; твор => твор-1|твор-2,
19455,многолетний,a,"мног,лет",мног,лет => лет-1|лет-2,
19456,многолетник,s,"мног,лет",мног,лет => лет-1|лет-2,
19496,многотонный,a,"мног,тон",мног,тон => тон-1|тон-2,
19497,многоточие,s,"мног,точ",мног,точ => точ-1|точ-2|точ-3,
19501,многоугольник,s,"мног,уголь",мног,уголь => угол-1|угол-2,
19679,молочно-белый,a,"молоч,бел",бел,молоч => молоч-1|молоч-2,
19739,мономер,s,"моно,мер",моно,мер => мер-1|мер-2|мер-3,
19756,монотонный,a,"моно,тон",моно,тон => тон-1|тон-2,
19792,мордобой,s,"морд,бой",бо(j)-1,морд => морд-1|морд-2,
19794,мордоворот,s,"морд,ворот",,морд => морд-1|морд-2; ворот => ворот-1|ворот-2,
19798,мореный,a,мор,,мор => мор-1|мор-2,
19799,мореплавание,s,"мор,плав",плав,мор => мор-1|мор-2,
19800,мореплаватель,s,"мор,плав",плав,мор => мор-1|мор-2,
19804,мореходный,a,"мор,ход",ход,мор => мор-1|мор-2,
19923,мочеточник,s,"моч,точ",моч-1,точ => точ-1|точ-2|точ-3,
20007,музыковед,s,"музык,вед",музык,вед => вед-1|вед-2,
20008,музыковедческий,a,"музык,вед",музык,вед => вед-1|вед-2,
20098,мухомор,s,"мух,мор",мух,мор => мор-1|мор-2,
20178,мягкотелость,s,"мягк,тел",мяг,тел => тел-1|тел-2,
20179,мягкотелый,a,"мягк,тел",мяг,тел => тел-1|тел-2,
20190,мясокомбинат,s,"мяс,комбинат",комбинат,мяс => мяс-1|мяс-2,
20193,мясорубка,s,"мяс,руб",руб,мяс => мяс-1|мяс-2,
20346,навязывание,s,вяз,,вяз => вяз-1|вяз-2,
20593,наиболее,adv,бол,,бол => бол-1|бол-2,
20594,наибольший,a,боль,,боль => бол-1|бол-2,
20688,накопитель,s,коп,,коп => коп-1|коп-2|коп-3,
20733,налет,s,лет,,лет => лет-1|лет-2,
20736,налетчик,s,лет,,лет => лет-1|лет-2,
20764,налогообложение,s,"налог,лож",лог,лож => лож-1|лож-2,
20765,налогоплательщик,s,"налог,плат",лог,плат => плат-1|плат-2,
20984,напыление,s,пыл,,пыл => пыл-1|пыл-2,
21029,наркоман,s,"нарк,ман",нарк,ман => ман-1|ман-2,
21030,наркомания,s,"нарк,ман",нарк,ман => ман-1|ман-2,
21064,нарсуд,s,"нар,суд",нар,суд => суд-1|суд-2,
21276,натертый,a,тер,,тер => тер-1|тер-2,
21434,начес,s,чес,,чес => чес-1|чес-2,
21525,небритый,a,бр,,бр => бр-1|бр-2,
21537,неведение,s,вед,,вед => вед-1|вед-2,
21538,неведомо,adv,вед,,вед => вед-1|вед-2,
21539,неведомый,a,вед,,вед => вед-1|вед-2,
21558,неверующий,a,вер,,вер => вер-1|вер-2|вер-3,
21559,неверующий,s,вер,,вер => вер-1|вер-2|вер-3,
21564,невесомый,a,вес,,вес => вес-1|вес-2|вес-3|вес-4,
21604,невоенный,a,во,,во => во(j)-1|во(j)-2|во(j)-3,
21621,неволя,s,вол,,вол => вол-1|вол-2,
21654,невыплата,s,плат,,плат => плат-1|плат-2,
21739,недобрать,v,бр,,бр => бр-1|бр-2,
21763,недодать,v,да,,да => да-1|да-2|да-3,
21776,недолгий,a,долг,,долг => долг-1|долг-2,
21779,недолговечный,a,"долг,веч",,долг => долг-1|долг-2; веч => веч-1|веч-2,
21794,недоплатить,v,плат,,плат => плат-1|плат-2,
21804,недопущение,s,пущ,,пущ => пущ-1|пущ-2,
21810,недорогой,a,дорог,,дорог => дорог-1|дорог-2|дорог-3,
21874,нежданно-негаданно,adv,"жд,гад",жд,гад => гад-1|гад-2,
21886,нежирный,a,жир,,жир => жир-1|жир-2,
21909,незадолго,adv,долг,,долг => долг-1|долг-2,
21923,незаменимый,a,мен,,мен => мен-1|мен-2,
21933,незапертый,a,пер,,пер => пер-1|пер-2,
21980,неизведанный,a,вед,,вед => вед-1|вед-2,
21996,неизреченный,a,реч,,реч => реч-1|реч-2,
22003,неимущий,a,им,,им => им-1|им-2,
22078,некрасивый,a,крас,,крас => крас-1|крас-2,
22139,немаловажный,a,"мал,важн",важ-1,мал => мал-1|мал-2|мал-3|мал-4,
22140,немалый,a,мал,,мал => мал-1|мал-2|мал-3|мал-4,
22147,немереный,a,мер,,мер => мер-1|мер-2|мер-3,
22197,ненадолго,adv,долг,,долг => долг-1|долг-2,
22229,необоримый,a,бор,,бор => бор-1|бор-2|бор-3,
22283,неодушевленный,a,"душ,евл",евл,душ => душ-1|душ-2,
22284,неожиданно,adv,жид,,жид => жид-1|жид-2,
22304,неоплаченный,a,плач,,плач => плач-1|плач-2|плач-3,
22356,неотложка,s,лож,,лож => лож-1|лож-2,
22384,непереносимый,a,нос,,нос => нос-1|нос-2,
22390,неплатеж,s,"плат,еж",еж,плат => плат-1|плат-2,
22391,неплатежеспособный,a,"плат,еж,способн","еж,соб",плат => плат-1|плат-2,
22392,неплательщик,s,плат,,плат => плат-1|плат-2,
22411,неподатливый,a,да,,да => да-1|да-2|да-3,
22425,неподсудный,a,суд,,суд => суд-1|суд-2,
22540,неприбранный,a,бр,,бр => бр-1|бр-2,
22559,неприкосновенность,s,кос,,кос => кос-1|кос-2|кос-3|кос-4,
22560,неприкосновенный,a,кос,,кос => кос-1|кос-2|кос-3|кос-4,
22568,неприметный,a,мет,,мет => мет-1|мет-2,
22651,неравномерный,a,"равн,мер",рав,мер => мер-1|мер-2|мер-3,
22663,неразборчивый,a,бор,,бор => бор-1|бор-2|бор-3,
22666,неразгаданный,a,гад,,гад => гад-1|гад-2,
22737,нерукотворный,a,"рук,твор",рук,твор => твор-1|твор-2,
22738,нерусский,a,рус,,рус => рус-1|рус-2,
22751,несведущий,a,вед,,вед => вед-1|вед-2,
22760,несвязный,a,вяз,,вяз => вяз-1|вяз-2,
22763,несгораемый,a,"гор,ем",ем,гор => гор-1|гор-2,
22802,несмелый,a,сме,,сме => сме-1|сме-2,
22811,несносный,a,нос,,нос => нос-1|нос-2,
22812,несоблюдение,s,блюд,,блюд => блюд-1|блюд-2|блюд-3,
22814,несовершеннолетний,a,"совершенн,лет",совершенн,лет => лет-1|лет-2,
22830,несоизмеримый,a,мер,,мер => мер-1|мер-2|мер-3,
22845,несоразмерный,a,мер,,мер => мер-1|мер-2|мер-3,
22926,нетопленый,a,топл,,топл => топ-1|топ-2|топ-3,
22946,неубранный,a,бр,,бр => бр-1|бр-2,
22951,неуверенность,s,вер,,вер => вер-1|вер-2|вер-3,
22952,неуверенный,a,вер,,вер => вер-1|вер-2|вер-3,
22955,неувязка,s,вяз,,вяз => вяз-1|вяз-2,
23003,неумеренный,a,мер,,мер => мер-1|мер-2|мер-3,
23006,неуместный,a,мест,,мест => мест-1|мест-2,
23018,неуплата,s,плат,,плат => плат-1|плат-2,
23024,неуравновешенный,a,"равн,веш",рав,веш => веш-1|веш-2,
23025,неурожай,s,рож,,рож => рож-1|рож-2|рож-3|рож-4,
23053,неутомимость,s,том,,том => том-1|том-2,
23054,неутомимый,a,том,,том => том-1|том-2,
23075,нефтегазоносность,s,"нефт,газ,нос","нефт,газ",нос => нос-1|нос-2,
23082,нефтеносный,a,"нефт,нос",нефт,нос => нос-1|нос-2,
23107,нецелесообразность,s,"цел,сообразн",раз-1,цел => цел-1|цел-2,
23108,нецелесообразный,a,"цел,сообразн",раз-1,цел => цел-1|цел-2,
23119,нечесаный,a,чес,,чес => чес-1|чес-2,
23181,низвести,v,"низ,вес",,низ => низ-1|низ-2; вес => вес-1|вес-2|вес-3|вес-4,
23182,низводить,v,"низ,вод",,низ => низ-1|низ-2; вод => вод-1|вод-2,
23190,низколетящий,a,"низк,лет",низ-1,лет => лет-1|лет-2,
23192,низкооплачиваемый,a,"низк,плач",низ-1,плач => плач-1|плач-2|плач-3,
23196,низкорослый,a,"низк,рос",низ-1,рос => рос-1|рос-2,
23200,низложить,v,"низ,лож",,низ => низ-1|низ-2; лож => лож-1|лож-2,
23231,ниспослать,v,сл,,сл => сл-1|сл-2,
23403,носоглотка,s,"нос,глот",глот,нос => нос-1|нос-2,
23405,носорог,s,"нос,рог",рог,нос => нос-1|нос-2,
23425,ночлег,s,"ноч,лег",ноч-2,лег => лег-1|лег-2,
23591,обезболивающий,a,бол,,бол => бол-1|бол-2,
23653,обесточить,v,точ,,точ => точ-1|точ-2|точ-3,
23675,обжатие,s,жа,,жа => жа-1|жа-2,
23790,облет,s,лет,,лет => лет-1|лет-2,
24325,обществовед,s,"общ,вед",общ,вед => вед-1|вед-2,
24443,овцеводство,s,"овц,вод",ов,вод => вод-1|вод-2,
24476,огнемет,s,"огн,мет",огн,мет => мет-1|мет-2,
24484,огнетушитель,s,"огн,туш",огн,туш => туш-1|туш-2,
24592,одиннадцатилетний,a,"один,дцат,лет","один,дцат",лет => лет-1|лет-2,
24616,однодневный,a,"одн,дн",одн,дн => дн-1|дн-2,
24630,однолетний,a,"одн,лет",одн,лет => лет-1|лет-2,
24631,однолетник,s,"одн,лет",одн,лет => лет-1|лет-2,
24644,одноосный,a,"одн,ос",одн,ос => ос-1|ос-2,
24662,однотонный,a,"одн,тон",одн,тон => тон-1|тон-2,
24814,окатыш,s,кат,,кат => кат-1|кат-2,
24826,окислительно-восстановительный,a,"кис,восстанов",ста(j),кис => кис-1|кис-2|кис-3,
24881,окосеть,v,кос,,кос => кос-1|кос-2|кос-3|кос-4,
24966,оленевод,s,"олен,вод",олен,вод => вод-1|вод-2,
25073,опенок,s,пен,,пен => пен-1|пен-2|пен-3,
25144,оплодотворение,s,"плод,твор",плод,твор => твор-1|твор-2,
25145,оплодотворить,v,"плод,твор",плод,твор => твор-1|твор-2,
25146,оплодотворять,v,"плод,твор",плод,твор => твор-1|твор-2,
25177,опорно-двигательный,a,"пор,двиг",двиг,пор => пор-1|пор-2|пор-3|пор-4,
25302,опустошенный,a,пуст,,пуст => пуст-1|пуст-2,
25384,орденоносец,s,"орден,нос",орден,нос => нос-1|нос-2,
25385,орденоносный,a,"орден,нос",орден,нос => нос-1|нос-2,
25449,оруженосец,s,"оруж,нос",руж,нос => нос-1|нос-2,
25555,осколочек,s,кол,,кол => кол-1|кол-2|кол-3,
25635,основоположник,s,"основ,лож",снов,лож => лож-1|лож-2,
25711,осточертеть,v,"осто,черт",осто,черт => черт-1|черт-2,
25732,остроносый,a,"остр,нос",остр,нос => нос-1|нос-2,
26506,отсыпка,s,сып,,сып => сып-1|сып-2,
26558,отхлебывать,v,хлеб,,хлеб => хлеб-1|хлеб-2,
26895,пал,s,пал,,пал => пал-1|пал-2|пал-3|пал-4,
27080,парировать,v,пар,,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27101,парная,s,пар,,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27109,паровоз,s,"пар,воз",воз,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27111,паровозный,a,"пар,воз",воз,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27127,пароход,s,"пар,ход",ход,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27128,пароходик,s,"пар,ход",ход,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27129,пароходный,a,"пар,ход",ход,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27132,парсек,s,"пар,сек",сек,пар => пар-1|пар-2|пар-3|пар-4|пар-5|пар-6,
27295,патрульно-постовой,a,"патруль,пост",патруль,пост => пост-1|пост-2,
27392,пенек,s,пен,,пен => пен-1|пен-2|пен-3,
27402,пенобетон,s,"пен,бетон",бетон,пен => пен-1|пен-2|пен-3,
27403,пенопласт,s,"пен,пласт",пласт,пен => пен-1|пен-2|пен-3,
27428,пепельно-серый,a,"пепель,сер",пепел,сер => сер-1|сер-2,
27431,пепси-кола,s,"пепси,кол",пепси,кол => кол-1|кол-2|кол-3,
27567,перевязочная,s,вяз,,вяз => вяз-1|вяз-2,
27771,перелетный,a,лет,,лет => лет-1|лет-2,
28165,перочинный,a,"пер,чин",,пер => пер-1|пер-2; чин => чин-1|чин-2,
28207,перышко,s,пер,,пер => пер-1|пер-2,
28407,пионервожатая,s,"пионер,вож",пионер,вож => вож-1|вож-2|вож-3,
28461,пистолет-пулемет,s,"пистолет,пул,мет","пистолет,пул",мет => мет-1|мет-2,
28505,пищеблок,s,"пищ,блок",блок,пищ => пищ-1|пищ-2,
28507,пищеварительный,a,"пищ,вар",вар-1,пищ => пищ-1|пищ-2,
28574,планомерный,a,"план,мер",план,мер => мер-1|мер-2|мер-3,
28602,платеж,s,"плат,еж",еж,плат => плат-1|плат-2,
28604,платежеспособный,a,"плат,еж,способн","еж,соб",плат => плат-1|плат-2,
28606,платежный,a,"плат,еж",еж,плат => плат-1|плат-2,
28723,плодоножка,s,"плод,нож",плод,нож => нож-1|нож-2,
28725,плодоносный,a,"плод,нос",плод,нос => нос-1|нос-2,
28726,плодоносящий,a,"плод,нос",плод,нос => нос-1|нос-2,
28733,плодотворный,a,"плод,твор",плод,твор => твор-1|твор-2,
28740,плоскогубцы,s,"плоск,губ",плоск,губ => губ-1|губ-2|губ-3,
28756,плотоядный,a,"плот,яд",яд,плот => плот-1|плот-2|плот-3,
28899,поведенческий,a,вед,,вед => вед-1|вед-2,
29439,подлет,s,лет,,лет => лет-1|лет-2,
29476,подмести,v,мес,,мес => мес-1|мес-2,
29480,подметный,a,мет,,мет => мет-1|мет-2,
29568,подолгу,adv,долг,,долг => долг-1|долг-2,
29937,пожаротушение,s,"пожар,туш",жар,туш => туш-1|туш-2,
30051,поименный,a,им,,им => им-1|им-2,
30052,поименованный,a,им,,им => им-1|им-2,
30060,поисково-разведочный,a,"иск,вед",иск,вед => вед-1|вед-2,
30274,полет,s,лет,,лет => лет-1|лет-2,
30278,полетный,a,лет,,лет => лет-1|лет-2,
30309,полимер,s,"поли,мер",поли,мер => мер-1|мер-2|мер-3,
30311,полимеризация,s,"поли,мер",поли,мер => мер-1|мер-2|мер-3,
30330,полисемия,s,"поли,сем",поли,сем => сем-1|сем-2|сем-3,
30388,полководец,s,"полк,вод",полк,вод => вод-1|вод-2,
30413,полновесный,a,"полн,вес",полн,вес => вес-1|вес-2|вес-3|вес-4,
30415,полноводный,a,"полн,вод",полн,вод => вод-1|вод-2,
30416,полнокровный,a,"полн,кров",полн,кров => кров-1|кров-2,
30706,помехозащищенность,s,"мех,защищ",щищ,мех => мех-1|мех-2,
30957,по-польски,adv,поль,,поль => пол-1|пол-2|пол-3|пол-4|пол-5,
31014,попутешествовать,v,пут,,пут => пут-1|пут-2,
31134,портсигар,s,"порт,сигар",сигар,порт => порт-1|порт-2|порт-3,
31156,по-русски,adv,рус,,рус => рус-1|рус-2,
31504,потемки,s,тем,,тем => тем-1|тем-2,
31520,потертость,s,тер,,тер => тер-1|тер-2,
31521,потертый,a,тер,,тер => тер-1|тер-2,
31675,похлебка,s,хлеб,,хлеб => хлеб-1|хлеб-2,
31741,почесываться,v,чес,,чес => чес-1|чес-2,
31752,починять,v,чин,,чин => чин-1|чин-2,
31885,правобережный,a,"прав,береж",прав,береж => береж-1|береж-2,
31887,правовед,s,"прав,вед",прав,вед => вед-1|вед-2,
31888,правоведение,s,"прав,вед",прав,вед => вед-1|вед-2,
31921,правосудие,s,"прав,суд",прав,суд => суд-1|суд-2,
32271,прекраснодушие,s,"прекрасн,душ",крас-1,душ => душ-1|душ-2,
32272,прекраснодушный,a,"прекрасн,душ",крас-1,душ => душ-1|душ-2,
32504,приболеть,v,бол,,бол => бол-1|бол-2,
32875,прилет,s,лет,,лет => лет-1|лет-2,
32954,приморец,s,мор,,мор => мор-1|мор-2,
33218,пристегнуться,v,стег,,стег => стег-1|стег-2,
33293,притоп,s,топ,,топ => топ-1|топ-2|топ-3,
33294,притопать,v,топ,,топ => топ-1|топ-2|топ-3,
33342,прихлебывать,v,хлеб,,хлеб => хлеб-1|хлеб-2,
33386,причесывать,v,чес,,чес => чес-1|чес-2,
33387,причесываться,v,чес,,чес => чес-1|чес-2,
34276,простодушие,s,"прост,душ",прост,душ => душ-1|душ-2,
34278,простодушный,a,"прост,душ",прост,душ => душ-1|душ-2,
34334,просящий,a,прос,,прос => прос-1|прос-2,
34379,противоборство,s,"против,бор",против,бор => бор-1|бор-2|бор-3,
34380,противоборствовать,v,"против,бор",против,бор => бор-1|бор-2|бор-3,
34382,противовес,s,"против,вес",против,вес => вес-1|вес-2|вес-3|вес-4,
34403,противоположность,s,"против,лож",против,лож => лож-1|лож-2,
34404,противоположный,a,"против,лож",против,лож => лож-1|лож-2,
34416,противоречивый,a,"против,реч",против,реч => реч-1|реч-2,
34417,противоречие,s,"против,реч",против,реч => реч-1|реч-2,
34418,противоречить,v,"против,реч",против,реч => реч-1|реч-2,
34552,прочесывать,v,чес,,чес => чес-1|чес-2,
34657,прямодушный,a,"прям,душ",прям,душ => душ-1|душ-2,
34665,прямоугольный,a,"прям,уголь",прям,уголь => угол-1|угол-2,
34796,пулемет,s,"пул,мет",пул,мет => мет-1|мет-2,
34797,пулеметный,a,"пул,мет",пул,мет => мет-1|мет-2,
34798,пулеметчик,s,"пул,мет",пул,мет => мет-1|мет-2,
34852,пустопорожний,a,"пуст,порожн",порожн,пуст => пуст-1|пуст-2,
34853,пустословие,s,"пуст,слов",слов-1,пуст => пуст-1|пуст-2,
34855,пустотелый,a,"пуст,тел",,пуст => пуст-1|пуст-2; тел => тел-1|тел-2,
34878,путеводитель,s,"пут,вод",,пут => пут-1|пут-2; вод => вод-1|вод-2,
34879,путеводный,a,"пут,вод",,пут => пут-1|пут-2; вод => вод-1|вод-2,
34882,путепровод,s,"пут,вод",,пут => пут-1|пут-2; вод => вод-1|вод-2,
34885,путешествие,s,пут,,пут => пут-1|пут-2,
34927,пчеловод,s,"пчел,вод",пчел,вод => вод-1|вод-2,
35003,пятерка,s,пят,,пят => пят-1|пят-2,
35005,пятерочка,s,пят,,пят => пят-1|пят-2,
35008,пятидесятилетие,s,"пят,десят,лет",десят,пят => пят-1|пят-2; лет => лет-1|лет-2,
35009,пятидесятилетний,a,"пят,десят,лет",десят,пят => пят-1|пят-2; лет => лет-1|лет-2,
35010,пятидесятник,s,"пят,десят",десят,пят => пят-1|пят-2,
35012,пятидневный,a,"пят,дн",,пят => пят-1|пят-2; дн => дн-1|дн-2,
35014,пятизначный,a,"пят,знач",зна(j),пят => пят-1|пят-2,
35015,пятиклассник,s,"пят,класс",класс,пят => пят-1|пят-2,
35017,пятиконечный,a,"пят,конеч",кон-1,пят => пят-1|пят-2,
35019,пятилетие,s,"пят,лет",,пят => пят-1|пят-2; лет => лет-1|лет-2,
35020,пятилетка,s,"пят,лет",,пят => пят-1|пят-2; лет => лет-1|лет-2,
35024,пятиминутка,s,"пят,минут",минут,пят => пят-1|пят-2,
35026,пятипроцентный,a,"пят,процент",процент,пят => пят-1|пят-2,
35030,пятиэтажный,a,"пят,этаж",этаж,пят => пят-1|пят-2,
35032,пятнадцатилетний,a,"пят,дцат,лет",дцат,пят => пят-1|пят-2; лет => лет-1|лет-2,
35057,работодатель,s,"работ,да",раб,да => да-1|да-2|да-3,
35058,работорговля,s,"раб,торг",раб,торг => торг-1|торг-2,
35083,равновесный,a,"равн,вес",рав,вес => вес-1|вес-2|вес-3|вес-4,
35085,равнодушие,s,"равн,душ",рав,душ => душ-1|душ-2,
35087,равнодушный,a,"равн,душ",рав,душ => душ-1|душ-2,
35091,равномерный,a,"равн,мер",рав,мер => мер-1|мер-2|мер-3,
35128,радиоволна,s,"радио,волн",радио,волн => волн-1|волн-2,
35132,радиоизлучение,s,"радио,луч",радио,луч => луч-1|луч-2|луч-3|луч-4|луч-5,
35161,радиочастота,s,"радио,част",радио,част => част-1|част-2,
35162,радиочастотный,a,"радио,част",радио,част => част-1|част-2,
35250,разведгруппа,s,"вед,групп",групп,вед => вед-1|вед-2,
35272,развернутый,a,вер,,вер => вер-1|вер-2|вер-3,
35525,разлет,s,лет,,лет => лет-1|лет-2,
35660,разноречивый,a,"разн,реч",раз-2,реч => реч-1|реч-2,
35675,разночинец,s,"разн,чин",раз-2,чин => чин-1|чин-2,
35875,ракета-носитель,s,"ракет,нос",ракет,нос => нос-1|нос-2,
35882,ракетоносец,s,"ракет,нос",ракет,нос => нос-1|нос-2,
35902,ранее,adv,ран,,ран => ран-1|ран-2,
35914,ранневесенний,a,"ран,весен",весен,ран => ран-1|ран-2,
35917,рано,adv,ран,,ран => ран-1|ран-2,
35936,раскаленный,a,кал,,кал => кал-1|кал-2|кал-3,
35968,раскисший,a,кис,,кис => кис-1|кис-2|кис-3,
36343,растениеводство,s,"раст,вод",рас,вод => вод-1|вод-2,
