tikhonov_root,auto_candidates,resolution_kind,resolved_root,resolved_canonical_root,kuznetsova_homonym_candidates,notes
журь,жур,deterministic,жур,жур,,
жутк,жут,deterministic,жут,жут,,
жутч,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
жуть,жут,deterministic,жут,жут,,
жух,жух,deterministic,жух,жух,,
жуч,жуч-1,deterministic,жуч-1,жуч-1,,
жучк,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
з,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
забав,бав,deterministic,бав,бав,,
забавл,бав,deterministic,бав,бав,,
забв,бв,deterministic,бв,бв,,
забияк,би(j),deterministic,би(j),би(j),,
заблаговременн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
заблагорассуд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
забор,бор-1,deterministic,бор-1,бер,,
забот,забот,deterministic,забот,забот,,
забоч,забоч,deterministic,забоч,забот,,
забрал,бр-1,deterministic,бр-1,бер,,
забубенн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
забулдыг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
забы,бы,deterministic,бы,бв,,
зав,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
завед,вед-1,deterministic,вед-1,вед-1,,
завер,вер-1,deterministic,вер-1,вер-1,,
завет,вет-1,deterministic,вет-1,вет-1,,
завещ,вещ-2,deterministic,вещ-2,вет-1,,
завзят,я-1,deterministic,я-1,ем,,
завид,вид,deterministic,вид,вид,,
завир,вир-1,deterministic,вир-1,вир-1,,
завис,вис,deterministic,вис,вис,,
завист,вист,deterministic,вист,вид,,
завод,вод-1,deterministic,вод-1,важ-2,,
заводь,вод-2,deterministic,вод-2,вод-2,,
заворот,ворот-1,deterministic,ворот-1,ворач,,
завр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
завтра,завтра,deterministic,завтра,завтра,,
завтрак,завтра,deterministic,завтра,завтра,,
загашник,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
загвоздк,гвозд,deterministic,гвозд,гвожд,,
заглавл,глав,deterministic,глав,глав,,
загогул,гогул,deterministic,гогул,гогул,,
зад,зад,deterministic,зад,зад,,
зада,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
задач,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
заде,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
задор,дор,deterministic,дор,дер,,
заем,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зажиточн,жи,deterministic,жи,жи,,
зажор,жор,deterministic,жор,жир-2,,
зазна,зна(j),deterministic,зна(j),зна(j),,
зазноб,зноб,deterministic,зноб,зноб,,
зазор,зор,deterministic,зор,зар,,
заик,ик,deterministic,ик,ик,,
заим,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
заимк,им-1,deterministic,им-1,ем,,
заимств,им-1,deterministic,им-1,ем,,
заиск,иск,deterministic,иск,иск,,
зай,за(j),deterministic,за(j),за(j),,
займ,йм,deterministic,йм,ем,,
займищ,йм,deterministic,йм,ем,,
зайц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зайч,за(j),deterministic,за(j),за(j),,
закавык,кавык,deterministic,кавык,кавык,,
закавыч,кавыч,deterministic,кавыч,кавык,,
закадычн,кадыч,deterministic,кадыч,кадык,,
заказ,каз-1,deterministic,каз-1,каж-1,,
заклани,кла,deterministic,кла,кла,,
заключ,ключ-1,deterministic,ключ-1,клюк-1,,
заковыр,ковыр,deterministic,ковыр,ковыр,,
закомар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
закон,кон-1,deterministic,кон-1,кан,,
закорюк,корюк,deterministic,корюк,корюк,,
закорюч,корюч,deterministic,корюч,корюк,,
закром,кром,deterministic,кром,кром,,
закут,кут-3,deterministic,кут-3,кут-3,,
зал,зал,deterministic,зал,зал,,
залихватск,лих,deterministic,лих,лих,,
залп,залп,deterministic,залп,залп,,
залуч,луч-4,deterministic,луч-4,луч-4,,
заль,зал,deterministic,зал,зал,,
зам,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
замби,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
замет,мет-2,deterministic,мет-2,мет-2,,
заметь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
замеч,меч-1,deterministic,меч-1,мет-2,,
замечательн,меч-1,deterministic,меч-1,мет-2,,
замк,мк,deterministic,мк,мк,,
замок,мок-2,deterministic,мок-2,мк,,
замоч,моч-3,deterministic,моч-3,мк,,
замухрышк,мухр,deterministic,мухр,мухр,,
замшев,замш,deterministic,замш,замш,,
занавес,вес-1,deterministic,вес-1,вес-1,,
занавесь,вес-1,deterministic,вес-1,вес-1,,
занавеш,веш-1,deterministic,веш-1,вес-1,,
занач,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
заним,ним,deterministic,ним,ем,,
заноз,ноз,deterministic,ноз,нз,,
заня,ня,deterministic,ня,ем,,
запад,пад,deterministic,пад,па-1,,
западн,пад,deterministic,пад,па-1,,
запальчив,пал-1,deterministic,пал-1,пал-1,,
запань,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
запас,пас-2,deterministic,пас-2,пас-2,,
запир,пир,deterministic,пир,пар-3,,
заповед,вед-1,deterministic,вед-1,вед-1,,
заповедь,вед-1,deterministic,вед-1,вед-1,,
запонк,пон,deterministic,пон,п,,
запорож,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
заправ,прав,deterministic,прав,прав,,
заправл,прав,deterministic,прав,прав,,
запрет,прет,deterministic,прет,прет,,
запрещ,прещ,deterministic,прещ,прет,,
зар,зар,deterministic,зар,зар,,
зараж,раж-1,deterministic,раж-1,раж-1,,
зараз,раз-1,deterministic,раз-1,раж-1,,
заряд,ряд,deterministic,ряд,ряд,,
заряж,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
заседа,сед-1,deterministic,сед-1,сад,,
заскоруз,скор-2,deterministic,скор-2,скор-2,,
заслуж,служ,deterministic,служ,слуг,,
заст,заст,deterministic,заст,заст,,
застенчив,стен-3,deterministic,стен-3,стен-3,,
застр,стр,deterministic,стр,стр,,
застрель,стрел,deterministic,стрел,стрел,,
застрех,стрех,deterministic,стрех,стрех,,
застря,стр,deterministic,стр,стр,,
заступ,ступ-1,deterministic,ступ-1,ступ-1,,
засуч,суч-3,deterministic,суч-3,сук-3,,
зате,зате(j),deterministic,зате(j),зате(j),,
затей,зате(j),deterministic,зате(j),зате(j),,
затон,тон-2,deterministic,тон-2,то,,
заточ,точ-1,deterministic,точ-1,тач-1,,
затрапез,трапез,deterministic,трапез,трапез,,
затхл,тх,deterministic,тх,тух,,
затылок,тыл,deterministic,тыл,тыл,,
затылоч,тыл,deterministic,тыл,тыл,,
затыль,тыл,deterministic,тыл,тыл,,
зауряд,ряд,deterministic,ряд,ряд,,
заурядн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
заусенец,усен,deterministic,усен,усен,,
зача,ч-1,deterministic,ч-1,ч-1,,
зачем,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зашпандор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
защит,щит,deterministic,щит,щит,,
защищ,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
защища,щищ,deterministic,щищ,щит,,
заяв,яв,deterministic,яв,яв,,
заяц,за(j),deterministic,за(j),за(j),,
заяч,за(j),deterministic,за(j),за(j),,
зв,зв,deterministic,зв,зв,,
зва,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зван,зван,deterministic,зван,зван,,
звезд,звезд,deterministic,звезд,звезд,,
звен,звен-1|звен-2,homonym,,,звен-1|звен-2,
звень,звен-1,deterministic,звен-1,звен-1,,
звер,звер,deterministic,звер,звер,,
зверь,звер,deterministic,звер,звер,,
звол,вол-1,deterministic,вол-1,вел-2,,
звон,звон-2,deterministic,звон-2,зван,,
звонч,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
звук,звук,deterministic,звук,звук,,
звуч,звуч,deterministic,звуч,звук,,
звяк,звяк,deterministic,звяк,звяк,,
зда,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
здани,зд,deterministic,зд,зд,,
здань,зд,deterministic,зд,зд,,
здеш,здеш,deterministic,здеш,здес,,
здоравл,здорав,deterministic,здорав,здорав,,
здоров,здоров,deterministic,здоров,здорав,,
здоровл,здоров,deterministic,здоров,здорав,,
здоровь,здоров,deterministic,здоров,здорав,,
зе,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зев,зев,deterministic,зев,зев,,
зеланд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зелен,зел,deterministic,зел,зел,,
зелень,зел,deterministic,зел,зел,,
зельц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зем,зем,deterministic,зем,зем,,
земел,зем,deterministic,зем,зем,,
земель,зем,deterministic,зем,зем,,
земк,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
земл,зем,deterministic,зем,зем,,
землян,зем,deterministic,зем,зем,,
земь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зензубель,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зенит,зенит,deterministic,зенит,зенит,,
зениц,зен,deterministic,зен,зен,,
зенк,зен,deterministic,зен,зен,,
зенкер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зеркал,зер,deterministic,зер,зар,,
зеркаль,зер,deterministic,зер,зар,,
зерн,зерн,deterministic,зерн,зерн,,
зернь,зерн,deterministic,зерн,зерн,,
зет,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зефир,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зиг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зигзаг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зиго,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зигот,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зижд,зижд,deterministic,зижд,зд,,
зим,зим,deterministic,зим,зим,,
зимогор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зимородок,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зимь,зим,deterministic,зим,зим,,
зипун,зипун,deterministic,зипун,зипун,,
зия,зи,deterministic,зи,зи,,
зл,зл,deterministic,зл,зл,,
злак,злак,deterministic,злак,злак,,
злат,злат,deterministic,злат,злат,,
злач,злач,deterministic,злач,злак,,
злащ,злащ,deterministic,злащ,злат,,
зме,зм,deterministic,зм,зм,,
змей,зм,deterministic,зм,зм,,
змий,зм,deterministic,зм,зм,,
зн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зна,зна(j),deterministic,зна(j),зна(j),,
знай,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
знак,зна(j),deterministic,зна(j),зна(j),,
знаком,зна(j),deterministic,зна(j),зна(j),,
знакомл,зна(j),deterministic,зна(j),зна(j),,
знам,зна(j),deterministic,зна(j),зна(j),,
знамен,зна(j),deterministic,зна(j),зна(j),,
знаменатель,зна(j),deterministic,зна(j),зна(j),,
знаменательн,зна(j),deterministic,зна(j),зна(j),,
знамени,зна(j),deterministic,зна(j),зна(j),,
знаменит,зна(j),deterministic,зна(j),зна(j),,
знат,зна(j),deterministic,зна(j),зна(j),,
знах,зна(j),deterministic,зна(j),зна(j),,
знач,зна(j),deterministic,зна(j),зна(j),,
зноб,зноб,deterministic,зноб,зноб,,
знобл,зноб,deterministic,зноб,зноб,,
зоб,зоб,deterministic,зоб,зоб,,
зов,зов,deterministic,зов,зв,,
зодиак,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зодч,зод,deterministic,зод,зд,,
зозул,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зоид,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зой,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зол,зол,deterministic,зол,зол,,
золач,золач,deterministic,золач,злат,,
золот,золот,deterministic,золот,злат,,
золотуш,золот,deterministic,золот,злат,,
золоч,золоч,deterministic,золоч,злат,,
золь,зол,deterministic,зол,зол,,
зон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зонг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зонд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зонт,зонт,deterministic,зонт,зонт,,
зоо,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зоот,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зор,зор,deterministic,зор,зар,,
зорилл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зорк,зор,deterministic,зор,зар,,
зорч,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зорь,зор,deterministic,зор,зар,,
зр,зр,deterministic,зр,зар,,
зраз,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зрачк,зр,deterministic,зр,зар,,
зрачок,зр,deterministic,зр,зар,,
зре,зр|зре,lemma_level_conflict,,,,Conflicting automatic candidates across lemmas: зр|зре
зря,зр,deterministic,зр,зар,,
зуав,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зуб,зуб,deterministic,зуб,зуб,,
зубиль,зуб,deterministic,зуб,зуб,,
зубр,зуб|зубр,lemma_level_conflict,,,,Conflicting automatic candidates across lemmas: зуб|зубр
зуд,зуд,deterministic,зуд,зуд,,
зуек,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зуж,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зуммер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зурн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зыб,зыб,deterministic,зыб,зыб,,
зыбл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зыбь,зыб,deterministic,зыб,зыб,,
зыв,зыв,deterministic,зыв,зв,,
зык,зык,deterministic,зык,зык,,
зыр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зыч,зыч,deterministic,зыч,зык,,
зюз,зюз,deterministic,зюз,зюз,,
зюйд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
зяб,зяб,deterministic,зяб,зяб,,
зябь,зяб,deterministic,зяб,зяб,,
зят,зят,deterministic,зят,зят,,
зять,зят,deterministic,зят,зят,,
и,и-2,deterministic,и-2,и-2,,
и-свет,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иаз,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иатр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ибер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ив,ив,deterministic,ив,ив,,
иван,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ивас,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ивишень,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ивл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
игл,игл,deterministic,игл,игл,,
игни,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
игнор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
игол,игол,deterministic,игол,игл,,
иголь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
игор,игор,deterministic,игор,игор,,
игр,игр,deterministic,игр,игор,,
игрек,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
игрений,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
игуан,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
игумен,игумен,deterministic,игумен,игумен,,
игумень,игумен,deterministic,игумен,игумен,,
ид,ид,deterministic,ид,и-1,,
иде,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идей,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идилл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идилли,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идио,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идиом,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идиот,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идиш,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
идол,идол,deterministic,идол,идол,,
идоль,идол,deterministic,идол,идол,,
иев,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иегов,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иезуит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иен,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иерарх,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иерей,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иеро,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иероглиф,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иждив,иждивен,deterministic,иждивен,иждивен,,
ижиц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
из,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изабелл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изб,изб,deterministic,изб,изб,,
избав,бав,deterministic,бав,бав,,
избавл,бав,deterministic,бав,бав,,
избег,бег,deterministic,бег,бег,,
избеж,беж,deterministic,беж,бег,,
избы,бы,deterministic,бы,бв,,
избыток,бы,deterministic,бы,бв,,
избыточ,бы,deterministic,бы,бв,,
извед,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изверг,верг,deterministic,верг,верг,,
изверж,верж,deterministic,верж,верг,,
извес,вес-2,deterministic,вес-2,важ-2,,
извест,извест,deterministic,извест,извест,,
известн,вест,deterministic,вест,вед-1,,
известь,извест,deterministic,извест,извест,,
извол,вол-1,deterministic,вол-1,вел-2,,
изврат,врат-1,deterministic,врат-1,ворач,,
извращ,вращ,deterministic,вращ,ворач,,
изгой,го(j),deterministic,го(j),го(j),,
изда,да-1,deterministic,да-1,да-1,,
издат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
издев,де(j),deterministic,де(j),де(j),,
издерж,держ,deterministic,держ,держ,,
изжог,жог,deterministic,жог,жг,,
излаг,лаг,deterministic,лаг,лаг,,
излож,лож-1,deterministic,лож-1,лаг,,
изм,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
измен,мен-1,deterministic,мен-1,мен-1,,
изможд,можд,deterministic,можд,можд,,
измыва,мы,deterministic,мы,мо(j),,
изнан,нк,deterministic,нк,ник,,
изнанк,нк,deterministic,нк,ник,,
изнаноч,ноч-1,deterministic,ноч-1,ник,,
изнур,нур,deterministic,нур,нур,,
изобар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изобат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изображ,раж-1,deterministic,раж-1,раж-1,,
изобраз,раз-1,deterministic,раз-1,раж-1,,
изобрес,рес,deterministic,рес,рес,,
изобрет,рет,deterministic,рет,рес,,
изогон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изол,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изотоп,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изощр,ощр,deterministic,ощр,вастр,,
изразец,раз-1,deterministic,раз-1,раж-1,,
изразц,раз-1,deterministic,раз-1,раж-1,,
израиль,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изрядн,ряд,deterministic,ряд,ряд,,
изувер,вер-1,deterministic,вер-1,вер-1,,
изум,ум,deterministic,ум,ум,,
изумл,ум,deterministic,ум,ум,,
изумруд,изумруд,deterministic,изумруд,изумруд,,
изъ,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изъя,я-1,deterministic,я-1,ем,,
изъявл,яв,deterministic,яв,яв,,
изъян,изъян,deterministic,изъян,изъян,,
изым,ым-2,deterministic,ым-2,ем,,
изысканн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изюбр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изюбрь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
изюм,изюм,deterministic,изюм,изюм,,
изящ,изящ,deterministic,изящ,изящ,,
ий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ик,ик,deterministic,ик,ик,,
икари,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
икарий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
икат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
икебан,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
икон,икон,deterministic,икон,икон,,
икор,икор,deterministic,икор,икор,,
икр,икр-1|икр-2,homonym,,,икр-1|икр-2,
икс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
икул,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ил,ил,deterministic,ил,ил,,
или,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
илл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иллион,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иллюз,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иллюзи,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иллюмин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иллюстр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
илон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иль,ил,deterministic,ил,ил,,
ильк,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ильм,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ильмен,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ильмень,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
им,им-1|им-2,homonym,,,им-1|им-2,
имажин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
имам,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
имбир,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
имбирь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
име,им-1,deterministic,им-1,ем,,
имен,им-2,deterministic,им-2,им-2,,
имени,им-1,deterministic,им-1,ем,,
имент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
имень,им-1,deterministic,им-1,ем,,
имеретин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
имит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иммун,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
иммунитет,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
императив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импери,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
империал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импичмент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импозантн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импорт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импотенц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импресси,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импров,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
импульс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
имуществ,им-1,deterministic,им-1,ем,,
ин,ин-1|инд-2,lemma_level_conflict,,,,Conflicting automatic candidates across lemmas: ин-1|инд-2
инак,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инаугураци,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инач,ин-1,deterministic,ин-1,ин-1,,
инвалид,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инвентар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инвентарь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инверс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инверси,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инверт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инвест,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ингал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ингиб,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ингредиент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ингуш,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индей,инд-1,deterministic,инд-1,инд-1,,
индейк,инд-1,deterministic,инд-1,инд-1,,
индекс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инди,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индивид,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индиг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индик,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индикатив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индифферент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индонезий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индосс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
инду,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индук,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индукт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индукц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индульгенци,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индус,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индустри,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
индуц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
