root,IPM
заискив,1.8
заказ,3.0
заказчиц,0.6
заключ,27.6
закон,12.1
законодател,90.7
закономер,1.6
законопослуш,3.5
законопроект,33.5
законотворч,2.9
закрыт,1.6
заксобра,0.5
закулис,3.7
закус,0.8
зал,220.7
заливист,0.6
залп,11.9
зам,43.3
заманч,1.2
замедл,0.8
замен,0.5
замерз,1.1
замет,75.1
замеч,23.0
замкнут,0.4
заморач,0.7
замоскворецк,0.9
замш,4.0
замысловат,0.4
занавес,0.8
занач,1.5
заносчив,0.5
зануд,1.3
занят,31.6
заокеан,2.5
заокон,0.7
заоч,4.1
запад,7.2
западл,0.7
запальчив,1.4
запас,0.8
запис,3.5
заповед,0.8
заполош,0.8
запорож,7.8
запредел,0.5
запчаст,6.7
зар,1017.3
зарабатыв,1.0
зараж,1.0
заразител,1.3
зарев,1.1
зарегистр,33.3
зарплат,76.0
заряд,1.0
заряж,0.4
заст,1.2
застенчив,3.5
заступ,0.5
застыв,7.1
зате(j),37.5
затей,3.2
затейлив,0.5
затем,241.3
затрат,3.8
заурядн,7.3
зауч,0.7
захлест,2.1
зач,8.6
зачат,1.2
зачаточ,0.5
зачатьевск,0.5
зачет,0.8
зачух,0.5
защит,6.9
защищ,2.5
защищен,3.5
заявител,0.5
зв,1683.5
зван,293.6
звезд,179.8
звен,2.8
звен-1,44.0
звенигород,1.0
звер,85.5
зверск,2.7
звон,133.1
звонк,6.6
звук,307.2
звучн,1.7
звяк,11.8
зга,0.6
зд,811.4
здес,23.1
здорав,459.1
здравств,1.2
зебр,1.9
зев,30.3
зек,7.1
зел,185.5
зеланд,1.3
зелен,5.9
зеленк,2.1
зеленоград,0.6
зем,768.9
земел,0.7
земл,14.8
зен,1.4
зенит,26.8
зеркал,1.1
зерн,41.6
зеро,0.4
зет,0.5
зефир,0.5
зи,11.8
зигзаг,6.3
зигот,0.4
зим,170.0
зипун,0.6
зл,304.6
злак,4.1
злат,215.6
злоб,6.9
зловещ,3.5
злоде,0.6
злокачеств,2.4
злокозн,0.7
злонамер,1.2
злопамят,1.3
злорад,5.8
злост,0.6
злосчаст,3.4
злот,0.5
злоупотреб,4.5
зм,43.6
змеев,0.4
змеенос,0.7
зна,10.9
зна(j),4761.2
знаком,11.1
знам,0.4
знаменател,0.6
знаменит,0.6
знаменск,0.5
знан,5.7
знач,313.5
значител,73.0
зно(j),8.6
зноб,7.8
зо(j),4.9
зоб,1.0
зодиак,1.6
зоид,2.5
зой,0.8
зол,10.8
золов,0.6
зомб,0.6
зомби,1.3
зон,122.9
зонд,6.5
зондер,0.7
зонт,16.1
зоо,18.5
зоолог,1.6
зоот,1.2
зорк,3.5
зосим,0.6
зре,64.9
зрелищ,0.7
зрим,2.0
зрител,1.3
зря,1.1
зуб,159.0
зубовск,0.4
зубоскал,0.4
зубр,10.5
зубреж,0.6
зуд,6.4
зуев,0.6
зулус,0.4
зум,0.4
зуммер,1.0
зыб,15.9
зык,2.9
зыр,0.7
зырк,2.3
зэк,8.7
зюз,0.4
зяб,13.5
зяв,0.6
зят,12.5
и-1,5267.6
и-2,1.9
иатр,20.6
ив,12.4
иван,5.0
ивер,0.9
иволг,0.8
иврит,4.8
иг,3.8
игл,27.4
иглоукалыв,0.4
игнор,19.5
игор,937.9
игрек,1.0
игрив,2.1
игуан,0.6
игумен,5.9
идальго,0.4
иде,329.2
идеал,88.6
идеализ,1.0
идеалист,1.9
идей,17.2
идент,34.9
идентифик,7.0
идеолог,4.0
идилл,1.7
идилли,3.3
идио,0.4
идиом,0.5
идиот,43.8
идиш,1.9
идол,8.9
иезуит,4.0
иен,1.8
иерарх,27.0
иерей,17.8
иерихон,0.4
иеро,3.7
иероглиф,5.3
иерусалим,3.5
иждивен,4.3
ижевск,1.1
изб,43.4
избирком,0.8
избыт,0.6
изверж,1.0
извест,14.1
изгал,0.7
изд,0.5
издев,4.1
излив,1.9
изм,0.8
измайлов,1.2
измен,0.4
изол,48.1
израил,0.7
израиль,31.6
изумруд,8.2
изъ,3.2
изъян,4.4
изюм,6.2
изящ,31.5
иисус,1.0
ик,17.0
икебан,0.9
икон,48.8
икор,16.5
икр-2,0.4
икс,4.2
иксод,0.4
икул,3.3
ил,23.5
иллюз,2.8
иллюзи,26.3
иллюзион,0.5
иллюзор,0.5
иллюмин,7.1
иллюстр,25.5
ильин,0.6
ильмень,0.5
ильюшин,0.7
им,1.9
им-2,499.7
имаго,2.2
имажин,0.4
имам,2.6
имбирь,0.9
имен,2.3
имеретин,0.5
имидж,16.1
имит,16.5
имманент,1.9
иммигр,7.1
иммун,46.8
импер,62.0
императив,3.6
импери,37.7
империал,9.5
империалист,0.4
импичмент,1.8
имплант,1.6
имплицит,0.5
имплоз,0.5
импозантн,1.6
импон,3.1
импорт,0.8
импотент,2.7
импотенц,2.3
импресарио,2.4
импресси,2.5
импров,9.9
импровиз,3.7
импульс,23.7
имуществ,0.9
имуществен,1.0
имхо,3.4
имя,3.6
имярек,0.9
ин-1,256.0
ин-2,6.4
инак,3.4
инактив,3.2
инаугураци,1.1
инвалид,34.9
инвект,0.7
инвентар,5.9
инвентарь,4.3
инверси,1.9
инвертор,0.6
инвест,134.5
ингал,0.5
ингиб,7.1
ингредиент,3.6
ингуш,5.8
инд-1,21.6
индекс,24.2
индивид,102.9
индивидуал,8.6
индиго,1.5
индий,17.8
индик,10.5
индифферент,0.9
индонезий,0.7
индоссамент,0.4
инду,4.2
индуизм,1.1
индукт,2.2
индукц,3.5
индульгенци,1.4
индус,0.4
индустр,12.8
индустри,16.1
индуц,3.9
инерт,1.1
инертн,2.7
инерц,11.4
инерци,3.2
инет,1.9
инжект,0.5
инженер,86.7
инженерно,1.3
инжиниринг,1.6
инжир,0.8
иници,86.1
инициал,3.4
инициатив,0.8
инк,0.5
инкасс,1.7
инквиз,2.2
инквизиц,2.6
инкогнито,1.8
инкорпор,0.6
инкримин,1.8
инкруст,2.8
инкуб,6.9
инсайт,0.5
инсект,0.5
инсину,0.7
инспект,25.9
инспекц,15.2
инспир,0.9
инсталл,1.5
инстанци,33.4
инстинкт,28.7
институт,240.6
институц,6.9
инструкт,18.2
инструкц,36.2
инструмент,82.2
инсулин,1.9
инсульт,4.4
интакт,1.1
интегр,46.8
интеграл,1.9
интеллект,67.5
интеллектуал,0.4
интеллигент,51.1
интеллигенц,35.6
интендант,1.6
интенсив,42.0
интенсиф,2.9
интенци,0.8
интенцион,2.6
интервал,17.5
интервент,0.7
интервенц,3.5
интервью,49.1
интерес,767.0
интериор,0.5
интерлейкин,0.7
интермеди,1.2
интермодал,0.4
интерн,0.5
интернат,6.2
интернационал,1.6
интернет,49.5
интерпол,0.8
интерпрет,27.8
интерфейс,7.0
интерфер,1.3
интерферон,3.3
интерьер,23.6
интим,19.2
интра,2.1
интриг,25.3
интриж,1.0
интро,0.4
интродукци,0.6
интрон,0.4
интруз,0.5
интуит,9.2
интуиц,15.3
инфа,0.9
инфант,0.7
инфантер,0.4
инфантил,0.7
инфантиль,2.8
инфаркт,12.0
инфекци,42.4
инферн,2.6
инфиц,18.4
инфл,19.0
информ,416.1
инфра,29.5
инфузори,0.5
инцест,0.7
инцидент,10.4
инъек,5.2
инь,1.2
иняз,0.5
иод,0.4
ион,14.2
иордан,1.1
ипатьев,0.6
ипо,0.4
ипостась,4.5
ипотек,5.5
ипотеч,9.2
ипподром,6.6
ирак,13.8
иран,5.8
ирис,3.4
ирк,0.4
иркут,19.0
ирланд,6.4
ирмос,0.5
ирод,3.3
ирокез,1.1
ирон,21.1
ирони,21.7
исаак,0.7
исихазм,0.7
исихаст,0.5
иск,605.5
искон,2.0
искор,29.3
искренн,74.6
искуш,1.6
ислам,29.5
исланд,1.0
исмент,19.6
испан,30.0
исповед,0.9
исполин,4.2
исполком,9.4
исполн,5.8
испыт,0.7
иссимус,2.3
исступ,1.5
ист,202.3
истеблишмент,1.9
истер,26.2
истор,648.6
источ,0.4
источник,3.8
истрин,1.3
истукан,3.6
исчез,155.5
итал,14.7
италь,44.4
итар,19.6
итерац,1.3
итог,133.4
итож,4.4
иттрий,0.4
иуд,16.1
ифиц,3.6
ихн,0.8
ихти,0.4
иш,0.5
ишак,2.0
ишо,2.4
ишшо,0.4
июл,81.1
июнь,87.4
йель,0.5
йемен,0.5
йог,6.8
йогурт,3.2
йод,4.9
йот,1.4
йошкар,0.5
к,1.1
ка-1,47.7
ка-2,79.2
кабак,11.0
кабал,1.9
кабан,6.8
кабардин,0.9
кабаре,3.3
кабач-2,4.2
каббал,1.6
кабель,13.8
кабельтов,0.4
кабин,37.0
кабинет,152.3
каблук,19.4
кабриолет,1.7
кабуки,0.6
кабуль,0.4
кавалер,22.5
кавалькад,1.1
кавардак,0.6
каверз,2.5
каверн,0.4
кавказ,30.9
кавторанг,0.7
кавык,4.5
кагал,0.4
каган,0.4
кагеб,0.4
кагор,0.9
кагоцел,0.4
кагэбэш,0.8
кад-1,4.2
кад-2,5.6
кадавр,0.5
кадар,0.4
кадастр,4.5
кадет,5.1
кадиллак,1.7
кадм,1.8
кадр,89.9
кадриль,0.5
кадык,4.4
каем,1.0
каём,4.7
каж-1,6686.7
каж-2,29.4
казак,43.5
казан,12.8
казарк,0.8
казарм,15.5
казах,11.5
казаш,0.5
каземат,1.8
казён,33.9
казино,11.7
казн-1,34.3
казу,0.5
казус,3.5
кайзер,2.1
кайл,0.8
кайф,8.8
как,378.9
кака,2.7
какофон,0.8
кактус,4.6
кал-1,38.4
кал-2,170.6
кал-3,6.6
каламбур,3.0
каланч,1.0
калач,4.4
калаш,0.7
калашников,4.8
калейдоскоп,2.3
калек,14.4
календар,5.2
календарь,15.0
календула,0.7
кали,0.4
калибер,2.0
калибр,9.9
калик,0.6
калин,9.9
калинин,1.7
калининград,9.4
калит,18.5
калифорн,3.1
каллиграф,1.2
калмык,1.6
калмыц,1.5
калори,2.2
калорий,1.5
калуж,13.9
калым,0.5
кальвадос,0.4
кальк,2.1
калькул,3.3
кальмар,2.2
кальсон,3.2
кальц,6.0
кальян,1.1
каляк,0.4
кам,227.5
камариль,0.5
камбал,1.1
камбий,0.7
камбуз,1.9
каме,0.7
камелек,0.5
камели,1.3
камен,0.6
камер,92.2
камергер,1.2
камердинер,1.9
камертон,1.2
камзол,2.2
камикадзе,1.4
камин,12.7
камк,2.8
камл,0.5
камн,0.5
камор,4.1
кампани,49.6
кампус,1.0
камуфл,7.0
камфар,0.6
камыш,6.4
кан,3021.6
канав,10.5
канад,11.9
канал,92.3
каналь,2.0
канапе,0.7
канар,4.7
канат,12.4
канв,2.0
кандал,1.8
кандей,1.1
канделябр,1.4
кандидат,90.8
каникул,15.7
канистр,3.4
канител,1.4
канифоль,0.7
канкан,0.5
канн,1.3
каннибал,0.9
канон,31.8
канонад,1.5
канотье,0.6
каноэ,0.4
канск,0.5
кант,9.5
кантат,1.1
кантемир,0.4
кантон,2.2
кантри,0.9
канун,23.1
канц,0.4
канцеляр,14.8
канцер,0.4
канцлер,6.7
каньон,2.8
канюк,1.5
кап,2.4
кап-2,116.7
кап-3,118.8
капа,1.8
капелл,3.6
капель,0.4
каперс,0.5
капилляр,3.8
капитал,109.7
капитальн,15.7
капитан,127.5
капитель,0.7
капитул,6.5
капищ,2.0
капкан,3.7
каплун,0.5
капонир,0.5
капор,0.4
капот,7.5
каппа,0.8
капрал,2.8
каприз,19.9
капрон,2.0
капсул,4.6
капсюль,0.8
каптер,1.8
капуст,27.5
капут,1.1
капуцин,0.6
капуччин,0.7
капч,20.4
капюшон,5.0
кар,2.5
кар-1,3.7
кар-2,74.8
кар-3,6.2
карабах,0.5
карабин,8.4
карабк,11.5
карава(j),1.4
караван,6.9
каравелл,0.7
карагандин,0.8
караим,0.6
каракат,0.6
каракул,2.8
каракуль,0.6
карамель,2.6
карамзин,0.9
карандаш,50.0
карантин,3.5
караоке,0.5
карапуз,1.1
карас,3.9
карат,2.8
каратэ,4.5
караул,20.5
карач,5.0
карачаев,1.1
карб,1.0
карбас,2.1
карбол,0.5
карбон,2.5
карбюр,1.7
карг,1.0
каргополь,0.6
кард,3.1
кардан,0.4
кардин,4.9
кардинал,4.1
кардиналь,6.2
кардиограмм,1.3
кардиолог,1.7
каре,1.2
карел,1.0
карель,4.0
карет,11.0
кариатид,0.6
кариб,2.7
кариес,1.1
карикатур,9.7
карикатурн,0.4
каркас,10.2
карл,11.4
карлов,0.5
карм,135.8
карман,132.4
карнав,2.9
карнавал,5.1
карниз,5.9
каротаж,1.0
каротин,0.7
карп,3.1
карпат,0.4
карст,0.4
карт,388.0
картав,2.0
картезиан,0.4
картель,0.7
картер,3.3
картеч,1.4
картинг,0.9
картинн,2.4
картограф,0.6
картон,16.1
картоф,63.0
картридж,0.7
картуз,2.4
карусель,5.5
карцер,5.3
карьер,59.4
кас,241.6
касат,0.4
касимов,0.6
каск,8.1
каскад,7.9
каспий,5.7
касс,47.5
кассет,21.6
касситерит,0.4
каст,4.0
кастаньет,0.4
кастелянш,0.6
кастет,1.5
кастинг,0.8
кастор,1.2
кастр,2.5
кастрюл,18.6
касьянов,0.5
кат,2.7
кат-1,419.2
кат-2,1.1
катаваси,0.6
катакл,5.5
катакомб,2.4
катал,2.2
каталажк,0.4
катализ,11.0
каталит,3.8
каталог,14.8
каталон,1.2
катамаран,1.5
катапульт,2.9
катар,1.6
катаракт,0.8
катарсис,1.4
катастроф,49.9
катастрофич,0.5
катафалк,1.0
категор,99.3
категорич,1.2
катер,17.5
катет,0.5
катетер,0.9
катехизис,1.1
катин,3.0
катион,1.7
катод,2.0
катол,6.7
католиц,3.5
католич,13.2
католичеств,2.0
каторг,10.3
катюш,5.4
каузальн,0.5
каучук,2.6
кафе,38.8
кафедр,34.3
кафел,2.7
кафель,2.2
кафеш,1.1
кафтан,1.9
кахов,0.4
кацавей,0.4
кач,2.7
качеств,11.0
каш-1,62.4
каш-2,33.1
каш-3,155.9
кашалот,0.4
кашел,33.8
кашемир,1.8
кашир,1.2
кашне,0.8
кашп,0.6
каштан,7.1
кащ,93.8
кащей,0.6
каюк,1.2
каюр,0.4
кают,14.9
каяк,0.5
ква,0.8
квадр,65.6
квадрат,3.6
квадратур,0.5
квадриг,0.5
квазар,2.4
квал,46.7
квалификацион,6.4
квалифиц,5.3
квалифицированн,1.0
квант,11.2
кварк,1.3
кварт,10.4
квартал,33.1
кварталь,0.8
квартир,315.8
кварц,4.5
кварцит,0.4
квас,13.8
квел,0.7
квинтет,0.7
квинтэссен,1.6
квит,8.0
кворум,1.2
квот,12.7
квохт,0.4
кегель,0.4
кегельбан,0.4
кед,2.4
кедр,10.5
кейс,4.1
кекс,1.1
кел,5.5
келл,0.6
кельвин,0.7
кельн,0.4
кельнер,0.4
кельт,2.2
кембридж,1.2
кемеров,3.8
кемпинг,0.5
кенгуру,2.1
кентавр,1.6
кеп,16.3
кепи,0.8
керам,9.5
керен,0.4
керлинг,0.8
керн,3.1
керогаз,0.5
керосин,13.6
керч,0.9
кесарев,2.1
кесарь,1.3
кетчуп,1.5
кефаль,0.5
кефир,5.9
ки-1,375.3
ки(j)-2,1.2
киббуц,0.4
кибернет,5.0
кибитк,0.7
киборг,0.6
кибуц,0.5
кив,130.0
киви,0.8
киев,18.6
киевл,1.8
кизяк,0.5
кик,3.2
кикбоксер,0.8
кикбоксинг,0.6
кикимор,2.8
кил,4.0
киллер,6.9
кило,113.6
килограмм,0.9
киль,2.6
кильк,2.5
кимберлит,0.5
кимоно,2.2
кине,0.8
кинез,0.4
кинем,26.2
кинет,5.4
кинжал,7.3
кинз,0.6
кино,174.4
киновар,0.7
киногер,0.8
киногрупп,0.7
киноиндустр,0.4
кинокрити,0.5
кинолент,1.4
кинолог,0.5
киноман,0.4
кинопоказ,0.4
кинопрокат,1.3
кинофорум,1.3
киноцентр,1.1
кинош,2.4
киношкол,0.4
киоск,13.4
киоскер,0.4
киот,1.9
кип,0.4
кип-1,61.2
кип-2,3.5
кипарис,2.8
кипр,2.4
кипяточек,0.5
кипяче,2.1
киргиз,3.7
кирз,2.5
кирилл,1.4
кириллов,0.5
кирк,2.4
киров,6.1
кирпич,45.7
кирх,0.8
кис-1,85.1
кис-2,5.1
кис-3,6.2
кисе(j),1.4
киселев,0.4
кисл,2.4
кислород,25.0
кист,31.8
кистень,0.6
кит,12.1
кита,20.5
китай,62.4
китайск,0.4
китаян,1.3
китель,8.6
китен,0.9
китч,0.5
киш,4.2
кишеч,23.3
кишинев,1.1
кишлак,2.0
кла,630.5
клавесин,0.8
клави,4.8
клавир,0.8
клавиш,10.6
кладезь,1.1
клаксон,0.8
клан,354.5
клапан,12.8
кларнет,1.5
класс,382.4
классифиц,0.8
классн,3.3
классов,0.4
кластер,7.8
клаустрофоб,0.4
клац,1.8
кле(j),59.1
клев,27.5
клевер,1.8
клевет,12.5
клеврет,0.4
клеен,5.3
клейм,9.4
клекот,6.0
клематис,1.2
клемм,0.7
клен,7.9
клеп,9.5
клерк,4.1
клест,1.1
клет,141.6
клетк,2.4
клецк,0.8
клёш,2.0
клешн,1.9
клещ,11.6
клиент,95.9
клизм,2.5
клик,154.4
клико,0.8
кликух,0.6
климакс,1.1
климат,35.2
клин,19.2
клин-1,20.4
клин-2,23.6
клиник,22.3
клинич,0.4
клип,4.8
клипер,0.4
клипмейкер,0.5
клипс,1.6
клир,0.9
клиренс,0.7
клирик,1.6
клиринг,0.4
клирос,0.9
клитор,1.5
клиш,2.5
клоак,0.5
клобук,0.7
клозет,1.0
клок,29.3
клон-2,2.6
клоп,7.1
клоун,15.8
клоунад,3.8
клошар,0.4
клуб,1.7
клуб-1,129.2
клуб-2,108.5
клумб,8.7
клун,1.0
клуш,0.4
клык,6.5
клюж,9.3
клюз,0.6
клюк-1,888.7
клюкв,4.9
ключ,4.5
ключ-2,122.0
ключев,1.4
ключич,0.5
клякс,4.5
клянч,2.8
кляп,1.4
кляс,88.3
клятв,1.0
кляуз,0.6
кляч,1.6
кнедл,0.4
кнессет,1.8
кнехт,0.5
книг,539.9
книготорг,0.6
книгочей,0.7
книксен,0.6
кноп,0.4
кнопк,33.0
кнопоч,7.1
кнут,8.2
княг,119.1
коал,0.4
коалици,10.7
кобальт,1.5
кобел,5.7
кобр,2.7
кобур,7.9
кобыл,7.7
ков,67.9
ковар,15.2
коварн,1.4
ковбой,7.2
ковер,1.6
ковёр,42.3
коверк,2.9
коверкот,0.5
ковриг,1.1
ковров,0.4
ковролин,0.5
ковчег,3.4
ковш,6.6
ковыл-1,5.7
ковыл-2,1.2
ковыр,14.6
когерентн,0.7
когнит,5.4
когорт,2.1
когот,10.7
код,31.8
кодак,0.8
кодекс,85.4
кодиров,1.2
кодирующ,1.8
кодл,0.7
кодон,0.5
коеч,26.5
кож,164.4
коз,26.8
козел,19.5
козель,0.4
козерог,2.8
козлен,2.1
козн,2.4
козыр-1,12.7
козыр-2,10.4
коитус,0.9
койот,0.5
кок,8.4
кока,1.3
кокаин,3.9
кокард,1.2
кокет,10.0
кокетлив,3.0
кокк,0.5
коклюш,0.5
кокон,2.5
кокос,3.0
кокпит,0.8
кокс,3.1
коктебель,0.9
коктейль,8.6
кол,4.4
кол-2,193.5
кол-3,443.6
колач,32.7
колаш,6.4
колб,3.7
колбас,37.8
колгот,5.1
колд,22.0
колдоб,1.8
колеб,61.6
колен,216.3
коленвал,0.5
коленкор,1.3
коленопреклонен,0.7
колер,0.8
колесик,4.7
коли,1.3
колибр,1.2
колин,2.6
количеств,2.0
колл,0.5
коллаборацион,0.4
коллаген,2.0
коллаж,1.9
коллапс,1.5
коллег,80.6
коллеги,29.8
колледж,12.2
коллеж,0.7
коллект,34.2
коллектив,76.4
коллектор,4.6
коллекци,48.6
коллиз,5.0
коллизи,0.6
коллоид,1.0
коллоквиум,0.6
колоб,2.4
колоброд,0.4
колод,10.5
колодез,25.2
колокол,36.2
коломен,2.5
колон,80.6
колони,4.7
колониз,0.9
колонок,0.4
колор,0.6
колорад,0.8
колорит,7.7
колосс,18.4
колошмат,0.5
колпак,10.5
колтун,0.4
колумби,1.7
колумбий,1.9
колхоз,10.4
колч,1.3
колчан,0.5
колыб,7.0
колым,3.5
колымаг,1.1
колых,12.7
коль,2.9
колькин,1.4
кольт,2.6
кольц,0.8
кольцов,0.4
ком,185.2
команд,451.1
командарм,2.3
командировоч,0.6
командн,1.1
командос,0.6
комар,17.8
комбайн,12.8
комбикорм,1.9
комбин,28.8
комбинат,32.9
комбинезон,6.5
комед,0.9
комеди,1.6
коменд,20.7
комет,3.6
коми,1.9
комикс,1.3
комильфо,0.4
комисс,2.2
комиссар,34.6
комисси,125.3
комиссион,2.0
комитент,1.0
комитет,121.5
комкор,0.7
коммандос,0.5
комменд,0.4
коммент,31.6
комментар,32.0
комментатор,0.4
коммерс,11.0
коммерц,11.0
коммерциал,1.2
коммерч,60.7
коммерческ,0.8
коммивояжер,0.7
коммун,139.8
коммуналь,2.0
коммуник,11.5
коммуника,16.5
коммуникабель,0.6
коммуникат,3.6
коммунист,37.0
коммуня,0.6
коммут,2.0
коммюнике,0.7
комнат,351.9
комнатен,1.9
комод,5.2
комп,2.3
компакт,13.5
компактн,1.3
компан,9.2
компаней,1.1
компани,406.6
компань,4.0
компаньон,0.4
компас,4.8
компенс,38.0
компенсатор,0.5
компенсацион,2.3
компенсирующ,0.4
компетент,15.7
компетентн,0.6
компетенц,16.0
компил,0.8
комплек,1.5
комплекс,171.2
комплексн,1.4
комплексов,1.4
комплект,39.0
комплектующие,4.8
комплемент,1.8
комплимент,11.1
композит,38.9
композици,31.1
композиционн,0.4
компон,1.1
компонент,51.5
компонов,2.6
компост,0.8
компот,7.2
компрадор,0.4
компресс,8.9
компромат,5.3
компромет,5.7
компромисс,23.6
компьютер,100.4
комс,2.3
комсомол,16.0
комстат,0.5
комфорт,24.5
комфортабель,4.1
комфортабельн,0.5
комфортн,3.7
кон-2,102.6
конвейер,14.4
конвек,0.7
конвект,0.5
конвент,0.6
конвенци,16.1
конверген,1.3
конверси,4.1
конверт,28.6
конверта,1.2
конвертер,0.6
конвертиру,1.6
конво,6.8
конвой,13.6
конвульс,0.8
конвульси,1.5
конгломер,1.4
конго,0.4
конгресс,21.0
конд,0.6
кондак,0.4
конденс,10.1
кондитер,6.5
кондици,10.9
кондицион,2.0
кондоминиум,0.9
кондор,1.2
кондрат,0.9
кондрашк,0.5
кондуктор,2.8
кондукторш,0.8
конец,0.7
конешн,0.7
конкистадор,0.5
конкрет,7.3
конкрети,1.3
конкретн,138.9
конкур,74.0
конкурент,12.7
конкурентоспособ,16.4
конкурс,89.8
коннотаци,0.5
коноп,3.9
конопуш,0.5
консалтинг,3.7
консенсус,3.6
консерв,29.0
консерват,18.9
консерватив,0.5
консерватор,18.2
консилиум,1.6
консистен,2.5
консистор,1.0
консолид,13.2
консоль,1.7
консорциум,4.3
конспект,5.1
конспир,4.8
конспират,2.0
констант,4.5
константинов,0.7
константинополь,1.9
констат,19.8
конститу,82.1
конституцион,2.6
конституционн,0.4
констру,15.1
конструк,115.9
конструкт,3.5
конструктор,0.5
консул,4.8
консуль,2.4
консульств,3.8
консульт,48.7
консьерж,1.4
контакт,66.5
контактор,0.9
контамина,0.5
контейнер,18.1
контекст,29.4
контент,0.8
контингент,8.9
континент,22.9
континуум,1.2
контор,32.2
контр,0.5
контра,1.5
контрабанд,7.0
контрабас,4.3
контрагент,2.4
контракт,61.2
контральт,0.5
контрамарк,0.7
контрапункт,1.0
контраргумент,0.6
контраст,15.6
контрастн,0.5
контрафакт,1.4
контрацеп,0.6
контрацептив,0.8
контрейлер,0.7
контрибу,0.5
контригр,0.5
контрнаступл,1.1
контрол,57.6
контролерш,0.7
контролиру,3.7
контроллер,2.3
контроль,167.4
контрольн,0.9
контрпродукт,0.4
контрразвед,1.7
контрразведыватель,0.7
контрреволюционер,0.9
контртеррорист,2.9
контуже,0.5
контуз,4.5
контур,16.7
конунг,10.2
конур,2.5
конус,6.9
конфедер,2.7
конфер,2.4
конферанс,0.4
конференц,21.8
конференци,58.6
конфесси,6.4
конфессион,0.4
конфет,24.3
конфетт,0.6
конфигураци,9.5
конфиденци,5.0
конфиденциаль,2.3
конфиск,9.6
конфликт,76.9
конфликтов,2.8
конфор,1.7
конформ,2.6
конформа,0.6
конформацион,1.0
конформер,1.0
конфронт,3.9
конфуж,1.1
конфуз,5.1
конфузитьс,0.6
конфуци,0.5
конфуциан,0.7
концентр,59.7
концентрат,6.2
концепт,12.0
концепту,0.7
концептуал,0.6
концептуализ,0.5
концепц,71.9
концерн,15.9
концерт,105.2
концертмейстер,1.6
концесси,2.2
концлагер,5.9
конч,0.5
конъюг,0.4
конъюгат,1.2
конъюнктив,0.5
конъюнктур,12.6
коньяк,36.2
коньяч,3.5
коняш,0.4
коопер,15.7
кооператив,16.4
кооперацион,0.7
координ,29.1
координат,16.5
коп,14.5
коп-3,0.7
копееч,39.8
копенгаген,0.4
копи,33.7
копир,1.0
копирайтер,0.6
копиров,0.6
коптев,0.7
копче,0.8
кор-1,88.7
кор-3,1.2
корабел,130.6
коралл,4.3
коран,6.3
корач,680.2
корвалол,0.5
корвет,1.0
корд,0.4
кордебалет,1.2
кордон,3.7
коре,8.5
кореж,4.0
корей,13.7
корен,131.5
корж,2.0
корзин,25.8
кориандр,0.4
коридор,116.0
коризн,5.7
коринфянин,0.4
корифей,3.6
коричн,3.8
коричнев,0.9
корк,0.4
корм-2,15.8
корнет,1.5
корнилов,1.1
корнишон,0.5
короб-1,69.0
короб-2,3.4
коров,55.8
короед,0.6
корол,110.3
коромысл,2.5
корон,16.9
корост,1.2
корп,1.1
корпор,49.7
корпус,64.3
коррект,29.3
корректн,14.6
коррекц,6.3
коррел,11.5
корреспонд,66.5
коррид,1.9
коррози,5.2
коррозий,0.4
коррозион,0.5
коррумп,4.8
корруп,26.7
коррупцион,1.0
корсаж,0.4
корсар,0.5
корсет,1.9
корсик,0.5
корт,19.6
кортеж,3.7
кортик,1.0
корч-1,11.7
корч-2,1.8
корчем,0.7
коршун,2.7
корыст,19.6
корюк,1.5
коряк,2.8
кос-3,148.2
косатк,0.9
косм,4.7
космет,25.2
космополит,6.7
косн,5.4
косов,1.5
костел,1.8
костер,50.9
костёр,1.0
костин,0.4
костром,4.5
костыл,9.6
костюм,88.8
кот-1,119.3
кот-2,6.0
котел,51.4
котельнич,0.8
котлет,12.5
котом,1.7
коттедж,11.9
котурн,0.4
кофе(j),77.1
кофр,0.8
кофт,15.3
коч-1,13.6
коч-2,11.8
кочевряг,0.4
кочегар,4.7
кочерг,2.8
кош-4,0.5
кошар,0.5
кошач,0.8
кошев,0.4
кошел,16.4
кошер,0.7
кошм,0.8
кошмар,22.9
кошт,0.4
кощей,0.4
кощун,6.6
коэффициент,31.9
кра-1,26.9
кра(j)-2,416.1
краб,9.3
краг,0.6
крад,83.8
краеуголь,2.0
краков,0.5
крал,0.7
крамол,3.7
кран-1,24.6
кран-2,24.8
крант,1.0
крап,7.1
крапив,8.0
крас,0.5
крас-1,1104.1
красив,2.8
красногор,1.0
краснодар,8.7
краснопреснен,1.8
красносель,0.4
краснояр,12.8
кратер,2.1
кратч,5.5
крафт,0.4
крах,10.7
крахмал,7.8
креатив,4.8
креатур,0.4
кревет,3.7
кредит,132.4
кредо,3.1
крез,0.6
крейс,5.9
крем,32.1
кремен,8.9
кремл,26.1
крен,6.4
крендел,1.6
креп,366.7
креп-2,0.5
крепощ,0.4
крепч,0.9
крес-1,81.9
кресел,94.4
кресс,0.7
крест,189.9
крестьян,72.7
кретин,4.5
кречет,0.5
крив,66.4
кривич,0.8
криг,0.6
криз,1.1
кризис,61.9
крик,445.2
кримин,1.0
криминал,11.2
криминаль,19.7
крин,2.8
кринолин,0.7
крио,0.6
крипт,1.5
кристалл,29.1
